pattern,count_in_file
Backtracking + Greedy (Place largest available number first).,1
Backtracking + Memoization (Top-Down DP),1
Backtracking + Memoization (Top-Down DP).,1
Backtracking + Recursive State Validation,1
Backtracking + Sorting Groups.,1
Backtracking / DFS,1
Backtracking / Divide and Conquer.,1
Backtracking / Greedy (Small N),1
Backtracking / Set,1
Backtracking DFS with Column-by-Column Pruning,1
"Backtracking Iterate through the 10 LEDs, choosing to turn them on/off until `turnedOn` is met.",1
Backtracking on Net Balances Flatten everyone into their net balance. Try to settle one person's balance with any other person of the opposite sign.,1
Backtracking with Bi-directional Mapping,1
"Backtracking with Coordinate Set Maintain a `visited` Set of `(row, col)`. Always try to clean, move, recurse, then return and face original direction.",1
Backtracking with DP/Memoization (pre-checking palindromes).,1
Backtracking with Early Pruning,1
Backtracking with Evaluation-on-the-fly,1
Backtracking with Fibonacci Pruning & Integer Overflow check.,1
Backtracking with Frequency State Management,1
Backtracking with Memoization (Bitmasking),1
Backtracking with Memoization (DFS + Map).,1
Backtracking with Path Tracking,1
Backtracking with Pre-calculated Jump Table,1
Backtracking with Pruning,2
Backtracking with Pruning & Skyline State,1
Backtracking with Pruning + State Compression.,1
Backtracking with Pruning + Visited Array (or Bitmask).,1
Backtracking with Pruning / BFS for State Space,1
Backtracking with Pruning / Iterative Prefix Checking,1
Backtracking with Pruning / Network Flow.,1
Backtracking with Pruning.,1
Backtracking with State (Hamiltonian Path),1
Backtracking with State Pruning (Bitmask),1
Backtracking with Value Pruning.,1
Backtracking/Recursion or Bit Manipulation (Math: result is OR(all_elements) x 2^{n-1}).,1
Backward Pointer Scan,1
Backward Pointer Scan.,1
Backward Scan + Boolean Frequency Array,1
Backwards Traversal (Target to Start),1
Balance Counter (Greedy),1
Balanced Binary Search Tree (TreeSet) + Sliding Pointer,1
Balanced BST / TreeMap (Ordered Map),1
Base 3 Representation (Ternary Logic).,1
Base-26 Conversion (with Offset Correction).,1
Base-9 Conversion.,1
Bellman-Ford / BFS (Level-based),1
BFS (Breadth First Search) for Unweighted Shortest Path.,1
BFS (Breadth-First Search),1
BFS (Breadth-First Search) + Visited Array (0-1000),1
BFS (Digit Permutation Generation),1
BFS (Level Order Traversal),3
BFS (Level Order Traversal) but strictly Right-to-Left.,1
BFS (Level Order Traversal) tracking max per level.,1
BFS (Level Order Traversal) with an early exit on the first leaf node encountered.,1
BFS (Level Order Traversal).,1
BFS (Level-Order Expansion) or Bucket Sort.,1
BFS (Level-Order Traversal),1
BFS (Level-Order Traversal).,1
BFS (Queue) Use a Queue. Process all nodes in the current queue (one level) before moving to the next.,1
BFS (Queue-based Level Order),1
BFS (Reverse Level Order) + Hash Set,1
"BFS (Shortest Path) Use a Queue. For each mutation, check if it's in the ""bank"". Use a visited set to avoid cycles.",1
BFS (Shortest Path) using a Queue and a Distance 2D Array / Dijkstra.,1
BFS (to find shortest distances) + DFS/Backtracking (to reconstruct paths).,1
BFS + Cycle Decomposition (Minimum Swaps),1
BFS + Ordered Sets (Parity sets),1
BFS + Priority Queue (Min-Heap / Max-Heap).,1
BFS + Priority Queue / Monotonic Stack,1
BFS / DFS (State Space Generation),1
BFS / DFS Digit Construction,1
BFS / DFS with Edge Direction Tracking,1
BFS / DFS with Positional Indexing.,1
BFS / DFS with Visited State Set,1
BFS / Dijkstra (Day-by-Day),1
BFS / Dijkstra on Grid State.,1
BFS / Dijkstra on Sorted Checkpoints.,1
BFS / Dijkstra on State Space (Grid + Bitmask).,1
BFS from Buildings (Multi-Source Distance Accumulation),1
BFS from every node (or Edge Removal),1
"BFS on (CurrentNode, VisitedMask) State Space.",1
"BFS on 3D State (row, col, k)",1
BFS on Busses/Routes (Bipartite-like Graph).,1
BFS on Matrix State (Bitmasking),1
"BFS on State (x, y, bitmask_of_keys).",1
BFS Precomputation + Bitmask DP,1
BFS Queue (Visualizing the search space widening with every time step).,1
BFS using a Queue.,1
BFS with a Double-ended Queue (Deque) and a boolean direction flag.,1
"BFS with a Queue + Prepending to a Deque/Linked List for the result (or standard array reversal, which is practically optimal in many languages).",1
BFS with Character Mutation (a to z).,1
BFS with Multi-State Tracking,1
BFS with Multi-Value Jump Optimization,1
BFS with State Pruning (Shortest Path in String Graph).,1
BFS with Symmetry + Pruning (or Math),1
BFS with Two-Condition Entry (Keys + Possession),1
BFS/DFS with Hostname Filtering,1
"BFS/DFS with Sliding Logic From a cell, move in one direction using a `while` loop until hitting a wall. Treat the *stop point* as a graph node.",1
"Bi-directional Dynamic Programming (Meet-in-the-Middle) / Graph BFS. State = (u, v) .",1
Bi-directional Linear Scan with Last-Seen Map. O(N + Q),1
Binary Exponentiation,1
Binary Exponentiation (Fast Power),1
Binary Exponentiation (Modular Pow),1
Binary Indexed Tree (Fenwick Tree) / Segment Tree,1
Binary Lifting (Sparse Table),2
Binary Offset Mapping,1
Binary Search,1
Binary Search (bisect) on a sorted copy of nums1 to find the closest value to nums2[i].,1
Binary Search (Flattened Index),1
Binary Search (if sorted) or Single Pass Min-Tracker.,1
Binary Search (Iterative Descent),1
Binary Search (Left-most target),1
Binary Search (Leftmost Boundary),1
Binary Search (O(log N)).,1
Binary Search (on 1D projections of the 2D grid),1
"Binary Search (Range [0, x])",1
"Binary Search (Range [1, num])",1
Binary Search (Range-based Gap Detection),1
Binary Search (Range-Based),1
Binary Search (Range-based).,1
Binary Search (Shrinking Bound),1
"Binary Search (Sorted Heaters) Sort heaters. For each house, binary search for the two closest heaters (one left, one right).",1
Binary Search (Ternary Splitting),1
Binary Search (Triple Pass).,1
Binary Search (Two Bounds),1
Binary Search + Bit Counting Math,1
Binary Search + Greedy Priority Queue,1
Binary Search + Inclusion-Exclusion (PIE),1
Binary Search + Max-Heap (Priority Queue),1
"Binary Search + Sort Store all `start` values in a sorted list with original indices. For each `end`, binary search the list.",1
Binary Search + Two Pointers.,1
Binary Search / Jump Search,1
Binary Search / Math Search for k such that frac{k(k+1)}{2} le N or use the quadratic formula directly.,1
Binary Search on Answer,5
Binary Search on Answer (k) + Two Pointers.,1
"Binary Search on Answer (Range [1, max(piles)]).",1
Binary Search on Answer (Range),2
Binary Search on Answer (Y-coordinate). O(N log(Range/Epsilon)),1
Binary Search on Answer + Bit Digit DP (Math),1
Binary Search on Answer + Difference Array,1
Binary Search on Answer + Disjoint Set Union (DSU) / Connected Components Check.,1
Binary Search on Answer + Edge Cases,1
Binary Search on Answer + Fenwick Tree (BIT) / Merge Sort for Inversions.,1
Binary Search on Answer + Greedy,2
Binary Search on Answer + Greedy Math (Arithmetic Progression sum).,1
Binary Search on Answer + Greedy Traversal. O(N log(Max_Score)),1
Binary Search on Answer + Greedy Verification,1
Binary Search on Answer + Greedy with Monotonic Queue (Deque),1
Binary Search on Answer + Greedy.,1
Binary Search on Answer + Greedy/Flow.,1
Binary Search on Answer + Inclusion-Exclusion Principle.,1
Binary Search on Answer + Intersection Checks,1
Binary Search on Answer + Pruned Backtracking.,1
Binary Search on Answer + Reversed Graph Traversal. O(E log W),1
Binary Search on Answer + Sliding Window,2
Binary Search on Answer + Sliding Window / Greedy Check.,1
Binary Search on Answer + Sliding Window / Segment Tree.,1
Binary Search on Answer + Sliding Window.,1
Binary Search on Answer + Validation (Greedy/Bipartite),1
Binary Search on Answer / Math,1
Binary Search on Answer / Priority Queue,1
"Binary Search on Answer Binary search the ""max sum"" (Low: max(arr), High: sum(arr)). Greedily count chunks needed for each guess.",1
Binary Search on Answer Range,4
Binary Search on Answer Range + Inclusion-Exclusion Principle,1
Binary Search on Answer Range + Two Pointers/Binary Search for Counting,1
Binary Search on Answer Range.,1
Binary Search on Answer Space (Time).,1
Binary Search on Answer Space + Greedy Counting.,1
Binary Search on Answer Space + Number Theory (Inclusion-Exclusion Principle using LCM).,1
Binary Search on Answer.,6
Binary Search on Candidate Points,1
Binary Search on Columns/Rows,1
Binary Search on Cubic Formula,1
Binary Search on Days + BFS/DFS,1
Binary Search on Distance + Sliding Window,1
Binary Search on Even Indices.,1
Binary Search on H-Boundary,1
Binary Search on Leaf Nodes + Tree Height Properties,1
Binary Search on Length + Rolling Hash (Rabin-Karp).,2
Binary Search on Length + Rolling Hash (Rolling Hash),1
"Binary Search on Length The number of '1's can only be between 2 and 64. For each fixed length m, binary search for base k.",1
Binary Search on Monotonic Property,1
Binary Search on Partitions,1
Binary Search on Range + Upper Bound,1
Binary Search on Slope Direction.,1
Binary Search on Slope.,1
Binary Search on the Answer Space + Greedy Sliding Window.,1
Binary Search on the Answer.,1
"Binary Search on the Answer. Guess a ""Finish Time"" T. Write a greedy O(N) checker to see if all rides can be completed within time T.",1
Binary Search on Value or Min-Heap Merge,1
Binary Search on Value Range,2
Binary Search on Value Threshold / Greedy Math,1
"Binary Search with Duplicate Handling (O(log N) average, O(N) worst).",1
Binary Search.,1
Binary Tree Symmetry / Recursion,1
Bipartite Check + Component BFS Max Depth,1
Bipartite Coloring (Parity Counting),1
Bipartite Graph Matching / Min Vertex Cover.,1
Bipartite Graph Maximum Matching (Kuhn's Algorithm / DFS with Backtracking).,1
"Bit contribution counting array tracking 1s, coupled with right-shift carry propagation logic.",1
Bit Count Frequency + Inclusion-Exclusion,1
Bit Manipulation (bitCount) + Constant Set Check,1
Bit Manipulation (Bitmasking),1
Bit Manipulation (Column-wise Bit Counting),1
Bit Manipulation (Common Prefix Match),1
Bit Manipulation (Exponential Subtraction),1
Bit Manipulation (Extract and Shift).,1
Bit Manipulation (Flipping Trailing Ones),1
Bit Manipulation (Greedy Bit-by-Bit),1
Bit Manipulation (Left Shifting),1
Bit Manipulation (Modulo 3 Summing).,1
Bit Manipulation (Popcount + Bit Length),1
Bit Manipulation (Popcount) / Math,1
Bit Manipulation (Power of 2 - 1),1
Bit Manipulation (Right Shift) + Distance Tracker.,1
Bit Manipulation (Shift and Add),1
Bit Manipulation (XOR + Rightmost Set Bit),1
Bit Manipulation (XOR Masking).,1
Bit Manipulation (XOR Shift).,1
Bit Manipulation (XOR) or Character Summation,1
Bit Manipulation (XOR).,1
"Bit Manipulation (XOR, AND)",1
Bit Manipulation (Zero-Bit Filling),1
Bit Manipulation + Masking,1
Bit Manipulation / Math,1
"Bit Manipulation Group every 4 bits using bitwise AND (num & 15), then right shift by 4 (num >>> 4).",1
Bit Manipulation: (n > 0)  and  (n & (n-1) == 0),1
Bit-by-Bit Counting / Mathematical Combinatorics.,1
"Bit-by-Bit Counting For each bit position (0-31), count how many numbers have a '1' (k) and how many have a '0' (n-k). Distance contribution is k x (n-k).",1
Bit-by-Bit Reconstruction,1
Bit-Counting + Greedy Reconstruction,1
Bit-Position Counting,1
Bitmask + Backtracking Find character differences as bitmasks. Use DFS to find the shortest abbreviation mask that covers all difference constraints.,1
Bitmask + Prefix XOR,1
Bitmask + Prefix XOR (First Occurrence),1
Bitmask / Binary Enumeration,1
Bitmask / Profile DP,1
Bitmask DP,3
Bitmask DP (Submask Iteration),1
Bitmask DP (Ternary/Base-3 or Base-2 with double slots).,1
Bitmask DP (TSP Variant),1
Bitmask DP + Floyd-Warshall,1
Bitmask DP + Sorting Values,1
Bitmask DP + State Compression.,1
Bitmask DP + Submask Iteration,1
Bitmask DP / Backtracking with State Compression.,1
Bitmask DP / State Compression.,1
Bitmask DP over Target Array + LCM. O(N x 2^|target|),1
Bitmask Dynamic Programming (DP on Subsets).,1
Bitmask Dynamic Programming (Inverted),1
Bitmask Dynamic Programming (Knapsack Variant),1
Bitmask Dynamic Programming (Primes as Bits).,1
Bitmask Dynamic Programming + GCD Precomputation.,1
Bitmask Dynamic Programming.,1
Bitmask Enumeration + Precomputed Palindromes,1
Bitmasking (Bitwise AND Comparison),1
"Bitmasking (Brute Force is the only way, but Bitmasking is the production-ready implementation).",1
Bitmasking + Array.,1
Bitmasking + Backtracking (Pruned),1
Bitmasking + Disjoint Set Union (DSU).,1
Bitmasking + Gosper's Hack,1
Bitmasking + Hash Map / Advanced State Tracking,1
Bitmasking + Prefix XOR + Frequency Hash Map,1
Bitmasking + Subset Enumeration,1
Bitmasking / Backtracking Iterator,1
Bitmasking / Set Hashing,1
Bitmasking / Sorting + Hash Set.,1
Bitmasking / State Space Search,1
Bitmasking for character presence + Hash Map frequency counting.,1
Bitmasking Subset Enumeration + DFS / Floyd-Warshall,1
Bitwise AND (&) Operator in SELECT/WHERE,1
Bitwise AND Properties / Hash Set,1
Bitwise Evaluation / Prefix Counts.,1
Bitwise Logic (Total XOR Property).,1
Bitwise Logic / CASE statement with ID manipulation.,1
Bitwise Mask XOR Find the highest set bit. Create a mask of all 1s of that length. Result is `num ^ mask`.,1
Bitwise Operations & Masking,1
Bitwise OR (Math / Bit Manipulation Insight),1
Bitwise Parity Counting,1
Bitwise Parity Math / Combinatorics,1
Bitwise Powers of 2 Math.,1
Bitwise Prefix XOR & Frequency Counting.,1
Bitwise Shift & Subtract,1
Bitwise Shift and Masking.,1
Bitwise Simulation (Carry Manipulation).,1
"Bitwise Trie Insert all numbers into a Binary Trie. For each number, traverse the trie trying to pick the opposite bit.",1
Bitwise XOR (Sum) & AND-Shift (Carry) Loop,1
Bitwise XOR + Bit Counting XOR the two numbers (x oplus y). Count the set bits using Brian Kernighan’s algorithm.,1
Bitwise XOR + Brian Kernighan's Alg,1
Bitwise XOR Properties (`A ^ B = C` implies `A ^ C = B`).,1
Bitwise XOR Properties + Hamming Distance,1
Blocking Execution Context (One task occupies the stack while others wait in the queue).,1
Blocking Main Thread (Visualizing the CPU stuck in a loop waiting for the async task).,1
Boolean Array + Step Increment,1
Boolean Array Masking,1
Boolean Frequency Array / Hash Set,1
Boolean Indexing: df[df['id'] == 101],1
Boolean Mask + Interval Merging.,1
Border-to-Interior DFS (Inverse Flood Fill).,1
Bottom-Up DFS (Post-order Traversal),1
Bottom-Up DFS (Post-order Traversal) with a Global Max tracker.,1
Bottom-Up DFS (Post-order Traversal).,1
Bottom-Up DFS (returning pairs).,1
"Bottom-Up DFS. Return the height of the subtree if it is balanced. If it is ever unbalanced, return -1 immediately to short-circuit.",1
Bottom-Up Dynamic Programming (In-place or rolling 1D array).,1
Bottom-Up Dynamic Programming (Reverse Tabulation).,1
Bottom-Up Greedy (Post-order Traversal),1
Bottom-Up Post-Order DFS,1
Bottom-Up Post-Order DFS (Tree DP),1
Bottom-Up Tree DP (Post-order Traversal).,1
Boundary Analysis (Sorting).,1
Boundary Contraction,1
Boundary Shrinking,1
Bounded BFS / Geometric Limitation.,1
Bounded Knapsack Dynamic Programming.,1
Boyer-Moore Voting + Random Sampling / Segment Tree,1
Boyer-Moore Voting Algorithm (Extended),1
Boyer-Moore Voting Algorithm.,1
Brain Teaser / Math (Length Comparison).,1
Brain Teaser / Math (Parity).,1
Brainteaser / Array Math (Ghost Ants),1
Brainteaser / Logical Deduction,1
Breadth-First Search (BFS),3
Breadth-First Search (BFS) + Mathematical Formula,1
Breadth-First Search (BFS) / Bidirectional BFS,1
Breadth-First Search (BFS) / Level-order traversal with a Visited HashSet.,1
Breadth-First Search (BFS) / Shortest Path,1
Breadth-First Search (BFS) Shortest Path on a 3D State Graph,1
Breadth-First Search (BFS) String Building + Frequency Pruning,1
Breadth-First Search (BFS) with Column Tracking (Hash Map),1
Brian Kernighan’s Algorithm (n  &  (n-1)).,1
Brute Force (Small Constraints),1
Brute Force (Small Constraints) / Trie (Optimal),1
Brute Force / Constraint Optimization,1
Brute Force Path Memory (Storing every conceivable route configuration simultaneously).,1
Brute Force with Early Exit (Small Constraints),1
BST Property Navigation (Binary Search).,1
BST Property Navigation (Succ = smallest of right subtree),1
BST Property Traversal (Value Comparison),1
BST Traversal (Iterative),1
BST Traversal leveraging Parent Pointers.,1
Bucket Sort (Counting Citations),1
Bucket Sort (Pigeonhole Principle).,1
Bucket Sort / Counting Tally,1
Bucket Sort / Frequency Map + Greedy Flattening,1
Bucket Sort / Greedy with Priority.,1
Bucket Sort / Prefix Sum,1
Bucket Sort / Sliding Window,1
Bucket Sort of Iterators / Waiting Lists,1
Bucket Sort or Min-Heap,1
Bucket Sort Use an array where the index is the frequency. Put characters into the bucket at `frequency[char]` index.,1
Buffer Scan (Visualizing the database engine reading the text column repeatedly for each word).,1
Buffered Chunk Processing with Bound Checking.,1
Built-in Bit Manipulation (popcount),1
"Built-in O(N log N) Sort with a strictly defined Custom Comparator function returning -1, 0, or 1 based on a prioritized rule cascade.",1
"Calculate average, throw array into a Hash Set, and start checking from ceil(avg) + 1 .",1
Call Stack & Arguments Object frame allocation.,1
Call Stack & Redundant Object Allocation (Draw stacked boxes for deep recursion + identical clone structures in heap).,1
Canonical Hashing (DFS + Sort),1
Cantor's Diagonalization,1
Cascading / Bitmasking,1
Case When + Correlated Subquery (or In/Not In),1
CASE WHEN + CROSS JOIN (Static Ranges),1
CASE WHEN + SUM (Pivoting),1
CASE WHEN / Aggregate Filtering,1
Case When Logic (Geometric Constraints),1
CASE WHEN with IN clause (Subquery).,1
Case-Based Boundary Analysis. O(n),1
Case-Based Comparison (Counter + Mismatch Pointer).,1
CEIL + SUM + LEFT JOIN,1
Center Point + Diagonal Property,1
Chained Operations: df.loc[...].sort_values(...)[['name']],1
Chaining (Array of Linked Lists / BSTs),1
Character Frequency Counting + Greedy Symmetric Placement.,1
Character Frequency Signatures (Even/Odd split).,1
Chebyshev Distance (Math/Geometry),1
"Chebyshev Distance (Max of ΔX, ΔY)",1
Chunked Transfer (Length + Delimiter),1
Circular Buffer (Fixed-size Array),1
Circular Buffer / Fixed-size Array with Head/Tail Pointers.,1
Closure + clearTimeout / setTimeout,1
Closure + Hash Map (Caching),1
Closure + setTimeout + Stored Arguments,1
Closure / Higher-Order Function,1
Closures / Factory Pattern,1
Column-Wise Linear Scan,1
Column-Wise Max Pre-calculation,1
"Combinatorial Construction. Generate palindromes directly by mirroring the ""first half"" of the binary bits.",1
Combinatorial Counting (Pascal's Triangle logic),1
Combinatorial Counting + Digit-by-Digit Construction. O(n),1
Combinatorial Row Storage (Visualizing all row combinations in memory).,1
Combinatorics (Cantor Expansion) + Modular Multiplicative Inverse + Precomputed Factorials.,1
Combinatorics (Contribution of Each Element),1
Combinatorics (Handshake Lemma),1
Combinatorics (Inclusion-Exclusion Principle),1
Combinatorics (nCr mod10) using Lucas Theorem & CRT. O(N),1
Combinatorics (nCr) + Bit-by-Bit Construction.,1
Combinatorics (nCr) + Fast Power Math. (O(N)),1
Combinatorics (Pascal's Triangle / Math),1
Combinatorics (Permutations with Repetition) + Modular Multiplicative Inverse.,1
Combinatorics (Permutations),1
Combinatorics (Stars and Bars),1
Combinatorics + Fenwick Tree (BIT),1
Combinatorics + Frequency Counting.,1
Combinatorics + Modular Inverse,1
Combinatorics + Prefix/Suffix Maps,1
Combinatorics / 4-State DP (Markov Chain approach),1
Combinatorics / DP (Parity Switch),1
Combinatorics / Gap Counting,1
Combinatorics / Greedy Math.,1
Combinatorics / Hash Map,1
Combinatorics / Math (DP),1
Common Denominator (LCM) + Final GCD.,1
Common Table Expression (CTE) + LEFT JOIN filtering.,1
Common Table Expression (CTE) / GROUP BY,1
Common Table Expressions (CTE) + Aggregation,1
Common Table Expressions (CTE) + Window Functions (RANK/DENSE_RANK),1
Common Table Expressions (CTEs) + GROUP BY aggregation + Self JOIN.,1
"Common Table Expressions (CTEs) to group by employee_id, year, week , aggregate sums, filter > 20 , then self-join.",1
Compare Current vs Next,1
Complement Counting (Total - Good),1
Complementary Counting (Total - Odd),1
Complementary Counting + Binary Exponentiation.,1
Component Labeling (Island ID) + Hash Map.,1
Concurrency: 3 Semaphores,1
Concurrency: Mutexes / Semaphores / Promises,1
Concurrency: Two Alternating Semaphores,1
Condition Variables / Semaphores,1
Conditional Aggregation (SUM + CASE),2
Conditional Aggregation (SUM + IF/CASE),2
Connected Components (BFS/DFS) + Global Totals,1
Connected Components (DFS/BFS) + Combinatorics,1
Constrained Backtracking / DFS,1
Constructive Algorithm / Greedy Pattern Filling.,1
Constructive Pattern / Mathematical Observation,1
