data_shape,primary_engine,variation,composite_helper,canonical_link,questions
Array / Sequence,Greedy,Greedy with numeric invariant,+ Math,Canonical: Gas Station / local-choice greedy,9
Matrix / Grid,Prefix / Suffix Precompute,Range-sum precompute,None,Canonical: Range Sum Query,9
Relational Table / SQL,SQL / Group By,Aggregate + HAVING filter,None,Canonical: Grouped aggregation / departmental summary,9
Array / Sequence,Dynamic Programming,Bitmask DP,+ Bitmask,Canonical: Traveling-state / subset DP,9
Linked List,Two Pointers,Boundary / pointer sweep,None,Canonical: Merge / reverse linked-list pointers,8
Matrix / Grid,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,8
Graph / Network,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,8
Number / Bit / Math,Greedy,Local-choice optimization,+ Math,Canonical: Gas Station / local-choice greedy,8
Number / Bit / Math,Stack,LIFO state maintenance,None,Canonical: Valid Parentheses,8
Array / Sequence,Queue / Deque,Deque-backed range/window state,None,Canonical: Sliding Window Maximum,8
Number / Bit / Math,Binary Search,Answer-space binary search,None,Canonical: Koko Eating Bananas,8
Number / Bit / Math,Bit / Mask,Bitwise state manipulation,+ Math,Canonical: Bit manipulation,8
Number / Bit / Math,Backtracking,Choice tree with undo,None,Canonical: Permutations / combinations search,8
Array / Sequence,Segment Tree,Range query / update tree,+ Tree + Segment/Fenwick,Canonical: Range query / update segment tree,8
Number / Bit / Math,Prefix / Suffix Precompute,Range-sum precompute,None,Canonical: Range Sum Query,8
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Math,Canonical: Text-processing pipeline,8
Relational Table / SQL,SQL / Group By,Aggregate + HAVING filter,+ Counting,Canonical: Grouped aggregation / departmental summary,7
Matrix / Grid,Dynamic Programming,Interval DP,+ Intervals/Geometry,Canonical: Coin Change / state-transition DP,7
Number / Bit / Math,Counting,Frequency counting,None,Canonical: Frequency counting,7
String / Text,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,7
Number / Bit / Math,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,7
Array / Sequence,Custom Exact Technique,Exact custom / named technique,+ String Parsing,Canonical: Exact custom named technique,7
Tree / Trie,Stack,LIFO state maintenance,None,Canonical: Valid Parentheses,7
Object / Process / API,Design / Process / JS,Closure / scope behavior,None,Canonical: Closure / scope behavior,7
Object / Process / API,Design / Process / JS,Concurrency / synchronization,None,Canonical: API / object-behavior design,7
Number / Bit / Math,Prefix / Suffix Precompute,Prefix/suffix extrema or counts,None,Canonical: Prefix/Suffix extrema accumulation,7
Array / Sequence,Sliding Window,Variable-size window,+ Prefix/Suffix,Canonical: Minimum Window / variable-size window,7
Intervals / Geometry / Coordinates,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,7
Intervals / Geometry / Coordinates,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,7
Number / Bit / Math,Counting,Count-driven scan,+ Math,Canonical: Frequency counting,7
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Greedy Check,Canonical: Grid traversal / DP scan,7
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Prefix/Suffix,Canonical: Grid traversal / DP scan,7
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Math,Canonical: Grid traversal / DP scan,7
Array / Sequence,Greedy,Local-choice optimization,+ Sorting,Canonical: Gas Station / local-choice greedy,7
Array / Sequence,Counting,Count-driven scan,None,Canonical: Frequency counting,6
Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Sorting,Canonical: Two Sum II / Container With Most Water,6
Graph / Network,DFS,Depth-first traversal,None,Canonical: Depth-first component exploration,6
Object / Process / API,Design / Process / JS,Async promise control,None,Canonical: Promise orchestration,6
Relational Table / SQL,SQL / Group By,Distinct aggregation,+ Counting,Canonical: Grouped aggregation / departmental summary,6
String / Text,Custom Exact Technique,Exact custom / named technique,+ Prefix/Suffix,Canonical: Exact custom named technique,6
Array / Sequence,Prefix / Suffix Precompute,Prefix/suffix extrema or counts,None,Canonical: Prefix/Suffix extrema accumulation,6
String / Text,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,6
Intervals / Geometry / Coordinates,Dynamic Programming,Digit DP,+ Math,Canonical: Digit DP counting,6
String / Text,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,6
Number / Bit / Math,Math / Number Theory,Parity / algebraic invariant,None,Canonical: Mathematical invariant,6
Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Map,Canonical: Range Sum Query,6
Intervals / Geometry / Coordinates,Sorting / Sweep,Sweep / interval ordering,None,Canonical: Merge Intervals,6
Tree / Trie,BFS,Level-order traversal,None,Canonical: Binary Tree Level Order Traversal,6
Number / Bit / Math,Bit / Mask,Bitwise state manipulation,None,Canonical: Bit manipulation,6
Number / Bit / Math,Bit / Mask,Subset mask state,None,Canonical: Bitmask subset DP,6
Number / Bit / Math,Bit / Mask,XOR / parity logic,None,Canonical: Single Number / XOR invariant,6
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Counting,Canonical: Grid traversal / DP scan,6
Tree / Trie,Dynamic Programming,Tree DP,+ Tree,Canonical: Binary Tree Maximum Path Sum / tree DP,6
Linked List,Linked List,Dummy-node merge / splice,None,Canonical: Merge Two Sorted Lists,6
Number / Bit / Math,Dynamic Programming,Digit DP,+ Math,Canonical: Digit DP counting,6
String / Text,Stack,LIFO state maintenance,None,Canonical: Valid Parentheses,6
Number / Bit / Math,Bit / Mask,XOR / parity logic,+ Tree + Segment/Fenwick,Canonical: Single Number / XOR invariant,5
Matrix / Grid,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,5
Linked List,Linked List,Fast-slow pointer cycle / middle,None,Canonical: Linked List Cycle,5
Intervals / Geometry / Coordinates,Simulation / Scan / Precompute,Single-pass scan,None,Canonical: Linear scan with running state,5
Intervals / Geometry / Coordinates,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,5
Intervals / Geometry / Coordinates,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,5
Array / Sequence,Binary Search,Exact / partition binary search,+ Sorting,Canonical: Binary Search / median partition,5
String / Text,Custom Exact Technique,Exact custom / named technique,+ String Parsing,Canonical: Exact custom named technique,5
Graph / Network,Union-Find,Connectivity / component merging,+ Sorting,Canonical: Number of Connected Components / Redundant Connection,5
Array / Sequence,Prefix / Suffix Precompute,Difference-array accumulation,+ Intervals/Geometry,Canonical: Prefix/Suffix extrema accumulation,5
Number / Bit / Math,Queue / Deque,Deque-backed range/window state,None,Canonical: Sliding Window Maximum,5
Intervals / Geometry / Coordinates,Greedy,Sort-then-greedy,+ Sorting,Canonical: Merge Intervals / scheduling greedy,5
Number / Bit / Math,Greedy,Local-choice optimization,+ Bitmask + Tree + Segment/Fenwick,Canonical: Gas Station / local-choice greedy,5
Graph / Network,Shortest Path / Flow,Weighted graph optimization,None,Canonical: Weighted shortest path,5
Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,+ Math,Canonical: Range Sum Query,5
String / Text,Two Pointers,Boundary / pointer sweep,+ String Parsing,Canonical: Two Sum II / Container With Most Water,5
String / Text,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,5
Intervals / Geometry / Coordinates,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,5
Intervals / Geometry / Coordinates,Two Pointers,Boundary / pointer sweep,+ Greedy Check,Canonical: Two Sum II / Container With Most Water,5
Number / Bit / Math,BFS,Single-source breadth-first traversal,None,Canonical: Shortest-path layer BFS,5
Array / Sequence,Hash Map,Direct keyed lookup,+ Hash Set,Canonical: Direct lookup dictionary,5
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Sorting,Canonical: Text-processing pipeline,5
Graph / Network,BFS,Single-source breadth-first traversal,+ Graph,Canonical: Shortest-path layer BFS,5
Array / Sequence,Counting,Frequency counting,None,Canonical: Frequency counting,5
Array / Sequence,DFS,Depth-first traversal,None,Canonical: Depth-first component exploration,5
Number / Bit / Math,Simulation / Scan / Precompute,Single-pass scan,None,Canonical: Linear scan with running state,5
Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Greedy Check,Canonical: Basic filter / reshape / null-handling,5
String / Text,Backtracking,Choice tree with undo,None,Canonical: Permutations / combinations search,5
Number / Bit / Math,Simulation / Scan / Precompute,State-tracking simulation,None,Canonical: Direct simulation,5
Matrix / Grid,DFS,Flood-fill / component DFS,None,Canonical: Number of Islands,5
Array / Sequence,Hash Map,Direct keyed lookup,+ Sorting,Canonical: Direct lookup dictionary,4
Number / Bit / Math,Counting,Frequency counting,+ Math,Canonical: Frequency counting,4
Number / Bit / Math,Dynamic Programming,Bitmask DP,+ Bitmask + Math,Canonical: Traveling-state / subset DP,4
String / Text,Simulation / Scan / Precompute,Single-pass scan,None,Canonical: Linear scan with running state,4
Array / Sequence,Heap,Priority-based selection,+ Greedy Check,Canonical: Top K Frequent Elements / merge-k,4
Number / Bit / Math,Bit / Mask,XOR / parity logic,+ Math,Canonical: Single Number / XOR invariant,4
Intervals / Geometry / Coordinates,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,4
Intervals / Geometry / Coordinates,Monotonic Stack,Next-greater / monotonic boundary stack,None,Canonical: Daily Temperatures / Largest Rectangle,4
Tree / Trie,Tree,Recursive subtree aggregation,+ Hash Map,Canonical: Binary Tree recursion,4
Tree / Trie,DFS,Tree DFS,+ Hash Map,Canonical: Path Sum / subtree DFS,4
Array / Sequence,Dynamic Programming,State-transition DP,+ Prefix/Suffix,Canonical: Coin Change / state-transition DP,4
Array / Sequence,Dynamic Programming,3D DP,None,Canonical: Coin Change / state-transition DP,4
Array / Sequence,Dynamic Programming,State-transition DP,+ Sorting,Canonical: Coin Change / state-transition DP,4
Tree / Trie,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,4
Matrix / Grid,Backtracking,Choice tree with undo,None,Canonical: Permutations / combinations search,4
Matrix / Grid,Dynamic Programming,State-transition DP,+ Prefix/Suffix,Canonical: Coin Change / state-transition DP,4
Tree / Trie,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,4
Array / Sequence,Greedy,Local-choice optimization,+ Math,Canonical: Gas Station / local-choice greedy,4
Array / Sequence,Hash Map,Direct keyed lookup,+ Math,Canonical: Direct lookup dictionary,4
Tree / Trie,Counting,Count-driven scan,None,Canonical: Frequency counting,4
Intervals / Geometry / Coordinates,Segment Tree,Range query / update tree,+ Tree + Segment/Fenwick,Canonical: Range query / update segment tree,4
Intervals / Geometry / Coordinates,Simulation / Scan / Precompute,Direct simulation / scan,None,Canonical: Direct simulation,4
Intervals / Geometry / Coordinates,Prefix / Suffix Precompute,Range-sum precompute,None,Canonical: Range Sum Query,4
Number / Bit / Math,Dynamic Programming,State-transition DP,+ Math,Canonical: Coin Change / state-transition DP,4
Number / Bit / Math,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,4
Number / Bit / Math,DFS,Depth-first traversal,None,Canonical: Depth-first component exploration,4
String / Text,Counting,Count-driven scan,+ Math,Canonical: Frequency counting,4
Array / Sequence,Simulation / Scan / Precompute,State-tracking simulation,None,Canonical: Direct simulation,4
Array / Sequence,Simulation / Scan / Precompute,Single-pass scan,None,Canonical: Linear scan with running state,4
Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ String Parsing,Canonical: Basic filter / reshape / null-handling,4
Array / Sequence,Sliding Window,Variable-size window,+ Hash Map + Counting,Canonical: Minimum Window / variable-size window,4
Number / Bit / Math,Monotonic Stack,Next-greater / monotonic boundary stack,None,Canonical: Daily Temperatures / Largest Rectangle,4
Graph / Network,Topological Sort,DAG ordering / prerequisite resolution,+ Sorting + Memoization,Canonical: Course Schedule,4
Graph / Network,Shortest Path / Flow,Weighted shortest path,+ Math,Canonical: Network Delay Time,4
Number / Bit / Math,Prefix / Suffix Precompute,Prefix/suffix extrema or counts,+ Bitmask,Canonical: Prefix/Suffix extrema accumulation,4
Number / Bit / Math,Simulation / Scan / Precompute,Direct simulation / scan,None,Canonical: Direct simulation,4
String / Text,Greedy,Sort-then-greedy,+ Sorting,Canonical: Merge Intervals / scheduling greedy,4
Intervals / Geometry / Coordinates,Binary Search,Exact / partition binary search,+ Sorting,Canonical: Binary Search / median partition,4
Number / Bit / Math,Hash Map,Frequency dictionary,+ Counting + Sorting,Canonical: Group Anagrams / frequency map,4
Array / Sequence,Monotonic Stack,Next-greater / monotonic boundary stack,+ Prefix/Suffix,Canonical: Daily Temperatures / Largest Rectangle,4
String / Text,Counting,Frequency counting,+ Sorting,Canonical: Frequency counting,4
Array / Sequence,Sliding Window,Variable-size + frequency/uniqueness control,+ Hash Map,Canonical: Longest Substring Without Repeating Characters,4
Graph / Network,Union-Find,Connectivity / component merging,+ Greedy Check,Canonical: Number of Connected Components / Redundant Connection,4
Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Sorting + Greedy Check,Canonical: Two Sum II / Container With Most Water,4
Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ Sorting,Canonical: Two Sum II / Container With Most Water,4
Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ Prefix/Suffix,Canonical: Two Sum II / Container With Most Water,4
Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Prefix/Suffix,Canonical: Two Sum II / Container With Most Water,4
Matrix / Grid,Dynamic Programming,Digit DP,+ Math,Canonical: Digit DP counting,4
Matrix / Grid,Counting,Frequency counting,None,Canonical: Frequency counting,4
Graph / Network,BFS,Single-source breadth-first traversal,None,Canonical: Shortest-path layer BFS,4
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Trie,Canonical: Text-processing pipeline,4
Graph / Network,DFS,Depth-first traversal,+ Tree,Canonical: Depth-first component exploration,4
Matrix / Grid,Geometry,Coordinate transform / distance geometry,None,Canonical: Geometry / sweep / convex-hull family,4
Array / Sequence,Binary Search,Answer-space binary search,+ Greedy Check,Canonical: Koko Eating Bananas,4
Array / Sequence,Binary Search,Exact / partition binary search,+ Sorting + Prefix/Suffix,Canonical: Binary Search / median partition,4
Tree / Trie,Trie,Prefix-tree traversal / insertion,+ Prefix/Suffix,Canonical: Implement Trie (Prefix Tree),3
Tree / Trie,Sliding Window,Variable-size + frequency/uniqueness control,+ Hash Map,Canonical: Longest Substring Without Repeating Characters,3
Matrix / Grid,Math / Number Theory,Parity / algebraic invariant,None,Canonical: Mathematical invariant,3
Matrix / Grid,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,3
Matrix / Grid,Math / Number Theory,Divisor / number theory,None,Canonical: Count Primes / GCD-LCM family,3
Tree / Trie,Greedy,Local-choice optimization,+ Intervals/Geometry,Canonical: Gas Station / local-choice greedy,3
Tree / Trie,Dynamic Programming,State-transition DP,+ Greedy Check,Canonical: Coin Change / state-transition DP,3
Tree / Trie,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,3
Tree / Trie,DFS,Tree DFS,+ Hash Map + Tree,Canonical: Path Sum / subtree DFS,3
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Memoization,Canonical: Grid traversal / DP scan,3
Array / Sequence,Hash Map,Frequency dictionary,+ Counting + Math,Canonical: Group Anagrams / frequency map,3
Array / Sequence,Hash Map,Direct keyed lookup,+ Greedy Check,Canonical: Direct lookup dictionary,3
Array / Sequence,Divide and Conquer,Recursive split / combine,None,Canonical: Merge-sort / recursive split-combine,3
Object / Process / API,Design / Process / JS,Proxy / metaprogramming,None,Canonical: Proxy trap / meta-object,3
Object / Process / API,Design / Process / JS,Closure / scope behavior,+ Memoization,Canonical: Closure / scope behavior,3
Graph / Network,Dynamic Programming,3D DP,None,Canonical: Coin Change / state-transition DP,3
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Greedy Check,Canonical: Text-processing pipeline,3
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Greedy Check + Math,Canonical: Text-processing pipeline,3
Tree / Trie,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,3
Array / Sequence,Fenwick / Sparse Table,Fenwick prefix aggregate,+ Tree + Segment/Fenwick,Canonical: Fenwick tree / Binary Lifting,3
Array / Sequence,Dynamic Programming,State-transition DP,+ Math,Canonical: Coin Change / state-transition DP,3
Array / Sequence,Backtracking,Choice tree with undo,+ Sorting,Canonical: Permutations / combinations search,3
Tree / Trie,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,3
Tree / Trie,BFS,Single-source breadth-first traversal,+ Graph,Canonical: Binary Tree Level Order Traversal,3
Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Prefix/Suffix,Canonical: Exact custom named technique,3
String / Text,Greedy,Local-choice optimization,+ Math,Canonical: Gas Station / local-choice greedy,3
Number / Bit / Math,DFS,Depth-first traversal,+ Tree,Canonical: Depth-first component exploration,3
String / Text,Monotonic Stack,Next-greater / monotonic boundary stack,None,Canonical: Daily Temperatures / Largest Rectangle,3
String / Text,Heap,Priority-based selection,+ Greedy Check,Canonical: Top K Frequent Elements / merge-k,3
String / Text,Greedy,Local-choice optimization,+ Counting,Canonical: Gas Station / local-choice greedy,3
Array / Sequence,Heap,Priority-based selection,+ Sorting,Canonical: Top K Frequent Elements / merge-k,3
Array / Sequence,Heap,Dual-heap balancing,None,Canonical: Find Median from Data Stream,3
Array / Sequence,Heap,Priority-based selection,+ Hash Map,Canonical: Top K Frequent Elements / merge-k,3
Array / Sequence,Hash Set,Uniqueness / seen-set check,+ Greedy Check,Canonical: Contains Duplicate / seen-set uniqueness,3
Number / Bit / Math,Dynamic Programming,Bitmask DP,+ Bitmask + Graph + Math,Canonical: Traveling-state / subset DP,3
Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ String Parsing,Canonical: Exact custom named technique,3
String / Text,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,3
Intervals / Geometry / Coordinates,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,3
Intervals / Geometry / Coordinates,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,3
Intervals / Geometry / Coordinates,Geometry,Geometric reasoning,None,Canonical: Geometry / sweep / convex-hull family,3
Intervals / Geometry / Coordinates,Geometry,Coordinate transform / distance geometry,None,Canonical: Geometry / sweep / convex-hull family,3
String / Text,Counting,Count-driven scan,None,Canonical: Frequency counting,3
String / Text,Counting,Frequency counting,+ Math,Canonical: Frequency counting,3
Number / Bit / Math,Greedy,Local-choice optimization,+ Prefix/Suffix,Canonical: Gas Station / local-choice greedy,3
Number / Bit / Math,Sliding Window,Fixed-size window,None,Canonical: Fixed-size subarray window,3
Number / Bit / Math,Sliding Window,Variable-size window,+ Hash Map + Counting,Canonical: Minimum Window / variable-size window,3
Number / Bit / Math,Segment Tree,Range query / update tree,+ Tree + Segment/Fenwick,Canonical: Range query / update segment tree,3
Graph / Network,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,3
Graph / Network,Graph,General graph modeling,+ Counting,Canonical: General graph construction,3
Graph / Network,Shortest Path / Flow,0-1 shortest path,None,Canonical: Network Delay Time,3
Graph / Network,Shortest Path / Flow,All-pairs shortest path,None,Canonical: Weighted shortest path,3
Graph / Network,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,3
Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Greedy Check,Canonical: Two Sum II / Container With Most Water,3
Relational Table / SQL,SQL / Group By,Grouped aggregation,+ Counting,Canonical: Grouped aggregation / departmental summary,3
