ID,Problem Title,data_shape,primary_engine,variation,composite_helper,canonical_link,opt_time_budget,opt_space_budget,draw_anatomy_bucket
49,Group Anagrams,String / Text,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(K log K),O(N · K),Lookup-table / bucket canvas
50,"Pow(x, n)",Number / Bit / Math,Math / Number Theory,Fast exponentiation,None,"Canonical: Pow(x, n)",O(log N),O(1),Coordinate-plane canvas
51,N-Queens,Matrix / Grid,Backtracking,Constraint placement backtracking,None,Canonical: N-Queens,O(N!),O(N),Grid / board canvas
52,N-Queens II,Matrix / Grid,Backtracking,Constraint placement backtracking,+ Counting,Canonical: N-Queens,O(N!),O(N),Grid / board canvas
53,Maximum Subarray,Array / Sequence,Dynamic Programming,State-transition DP,+ Greedy Check,Canonical: Coin Change / state-transition DP,O(N),O(1),State-table / recurrence canvas
54,Spiral Matrix,Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(N· M),O(1),Grid / board canvas
55,Jump Game,Array / Sequence,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N),O(1),Coordinate-plane canvas
56,Merge Intervals,Intervals / Geometry / Coordinates,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,O(N log N),O(N),Relational table canvas
57,Insert Interval,Intervals / Geometry / Coordinates,Simulation / Scan / Precompute,Direct simulation / scan,None,Canonical: Direct simulation,O(N),O(N),Strip / timeline / pointer canvas
58,Length of Last Word,String / Text,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(1),Coordinate-plane canvas
59,Spiral Matrix II,Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(N²),O(1),Grid / board canvas
60,Permutation Sequence,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N²),O(N),Formula / invariant canvas
61,Rotate List,Linked List,Linked List,Pointer manipulation on list nodes,None,Canonical: Pointer rewiring on linked list,O(N),O(1),Node-link canvas (tree/list/trie)
62,Unique Paths,Graph / Network,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,O(M x N),O(N),Grid / board canvas
63,Unique Paths II,Tree / Trie,Tree,Recursive subtree aggregation,None,Canonical: Binary Tree recursion,O(M x N),O(N),Grid / board canvas
64,Minimum Path Sum,Graph / Network,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(M x N),O(1),Grid / board canvas
65,Valid Number,Number / Bit / Math,Simulation / Scan / Precompute,Deterministic state machine,None,Canonical: DFA / parser-style scan,O(N),O(1),Graph / state-network canvas
66,Plus One,Array / Sequence,Simulation / Scan / Precompute,Direct simulation / scan,None,Canonical: Direct simulation,O(N),O(1),Strip / timeline / pointer canvas
67,Add Binary,Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ Bitmask,Canonical: Two Sum II / Container With Most Water,"O(max(M, N)","O(max(M, N)",Container canvas (stack/queue/heap)
68,Text Justification,String / Text,Greedy,Local-choice optimization,+ String Parsing,Canonical: Gas Station / local-choice greedy,O(N),O(N),Strip / timeline / pointer canvas
69,Sqrt(x),Number / Bit / Math,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,O(log x),O(1),Strip / timeline / pointer canvas
70,Climbing Stairs,Array / Sequence,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(N),O(1),State-table / recurrence canvas
71,Simplify Path,Graph / Network,Stack,LIFO state maintenance,None,Canonical: Valid Parentheses,O(N),O(N),Container canvas (stack/queue/heap)
72,Edit Distance,Intervals / Geometry / Coordinates,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,O(M x N),"O(min(M, N)",Container canvas (stack/queue/heap)
73,Set Matrix Zeroes,Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(MN),O(1),Grid / board canvas
74,Search a 2D Matrix,Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(log(M x N),O(1),Grid / board canvas
75,Sort Colors,Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,None,Canonical: Basic filter / reshape / null-handling,O(N),O(1),Coordinate-plane canvas
76,Minimum Window Substring,Tree / Trie,Sliding Window,Variable-size window,+ Hash Map,Canonical: Minimum Window / variable-size window,O(N+N),O(K),Node-link canvas (tree/list/trie)
77,Combinations,Array / Sequence,DFS,Depth-first traversal,+ Graph,Canonical: Depth-first component exploration,O((n Choose k),O(k),Graph / state-network canvas
78,Subsets,Number / Bit / Math,Bit / Mask,Subset mask state,None,Canonical: Bitmask subset DP,O(N x 2^N),O(N),Range / bit-state canvas
79,Word Search,Matrix / Grid,DFS,Flood-fill / component DFS,None,Canonical: Number of Islands,O(N x M x 3^L),O(L),Grid / board canvas
80,Remove Duplicates from Sorted Array II,Linked List,Linked List,Pointer manipulation on list nodes,None,Canonical: Pointer rewiring on linked list,O(N),O(1),Coordinate-plane canvas
81,Search in Rotated Sorted Array II,Number / Bit / Math,Binary Search,Boundary / insertion search,None,Canonical: First/Last Position in Sorted Array,O(log N),O(1),Graph / state-network canvas
82,Remove Duplicates from Sorted List II,Linked List,Two Pointers,Boundary / pointer sweep,None,Canonical: Merge / reverse linked-list pointers,O(N),O(1),Node-link canvas (tree/list/trie)
83,Remove Duplicates from Sorted List,Linked List,Simulation / Scan / Precompute,Single-pass scan,None,Canonical: Linear scan with running state,O(N),O(1),Coordinate-plane canvas
84,Largest Rectangle in Histogram,Intervals / Geometry / Coordinates,Monotonic Stack,Next-greater / monotonic boundary stack,None,Canonical: Daily Temperatures / Largest Rectangle,O(N),O(N),Container canvas (stack/queue/heap)
85,Maximal Rectangle,Matrix / Grid,Monotonic Stack,Boundary / histogram stack,+ Counting,Canonical: Daily Temperatures / Largest Rectangle,O(M),O(M),Grid / board canvas
86,Partition List,Linked List,Linked List,Dummy-node merge / splice,+ Intervals/Geometry,Canonical: Merge Two Sorted Lists,O(N),O(1),Node-link canvas (tree/list/trie)
87,Scramble String,Matrix / Grid,Dynamic Programming,3D DP,None,Canonical: Coin Change / state-transition DP,O(N^4),O(N^4),Grid / board canvas
88,Merge Sorted Array,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(M+N),O(1),Coordinate-plane canvas
89,Gray Code,Number / Bit / Math,Bit / Mask,Bitwise state manipulation,+ Math,Canonical: Bit manipulation,O(2^N),O(2^N),Formula / invariant canvas
90,Subsets II,Array / Sequence,Backtracking,Choice tree with undo,+ Sorting,Canonical: Permutations / combinations search,O(N · 2^N),O(N),Strip / timeline / pointer canvas
91,Decode Ways,Matrix / Grid,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,O(N),O(1),Grid / board canvas
92,Reverse Linked List II,Linked List,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(1),Node-link canvas (tree/list/trie)
93,Restore IP Addresses,Number / Bit / Math,Backtracking,Choice tree with undo,None,Canonical: Permutations / combinations search,O(1),O(1),Formula / invariant canvas
94,Binary Tree Inorder Traversal,Tree / Trie,Stack,LIFO state maintenance,+ Tree,Canonical: Valid Parentheses,O(N),O(H),Container canvas (stack/queue/heap)
95,Unique Binary Search Trees II,Tree / Trie,Dynamic Programming,Memoized DP,+ DFS/Recursion,Canonical: Coin Change (top-down),O(Catalan(N),O(Catalan(N),Lookup-table / bucket canvas
96,Unique Binary Search Trees,Tree / Trie,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(N^2),O(N),State-table / recurrence canvas
97,Interleaving String,Matrix / Grid,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,O(M x N),O(N),Grid / board canvas
98,Validate Binary Search Tree,Tree / Trie,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(H),Strip / timeline / pointer canvas
99,Recover Binary Search Tree,Tree / Trie,Tree,Inorder traversal / BST order,None,Canonical: Inorder Traversal / BST validation,O(N),O(1),Container canvas (stack/queue/heap)
100,Same Tree,Tree / Trie,DFS,Tree DFS,None,Canonical: Path Sum / subtree DFS,O(N),O(H),Coordinate-plane canvas
101,Symmetric Tree,Tree / Trie,BFS,Single-source breadth-first traversal,None,Canonical: Binary Tree Level Order Traversal,O(N),O(h),Container canvas (stack/queue/heap)
102,Binary Tree Level Order Traversal,Tree / Trie,BFS,Single-source breadth-first traversal,None,Canonical: Binary Tree Level Order Traversal,O(V+E),O(W),Container canvas (stack/queue/heap)
103,Binary Tree Zigzag Level Order Traversal,Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Queue/Deque,Canonical: Basic filter / reshape / null-handling,Depends on engine / grouping plan,Result / grouping dependent,Container canvas (stack/queue/heap)
104,Maximum Depth of Binary Tree,Tree / Trie,DFS,Tree DFS,+ Tree,Canonical: Path Sum / subtree DFS,O(N),O(h),Node-link canvas (tree/list/trie)
105,Construct Binary Tree from Preorder and Inorder Traversal,Tree / Trie,DFS,Tree DFS,+ Hash Map + Tree,Canonical: Path Sum / subtree DFS,O(1),O(N),Node-link canvas (tree/list/trie)
106,Construct Binary Tree from Inorder and Postorder Traversal,Tree / Trie,DFS,Tree DFS,+ Hash Map + Tree,Canonical: Path Sum / subtree DFS,O(1),O(N),Node-link canvas (tree/list/trie)
107,Binary Tree Level Order Traversal II,Tree / Trie,BFS,Single-source breadth-first traversal,None,Canonical: Binary Tree Level Order Traversal,O(V+E),O(W),Container canvas (stack/queue/heap)
108,Convert Sorted Array to Binary Search Tree,Tree / Trie,DFS,Tree DFS,None,Canonical: Path Sum / subtree DFS,O(V+E),O(log N),Coordinate-plane canvas
109,Convert Sorted List to Binary Search Tree,Linked List,DFS,Depth-first traversal,+ Tree,Canonical: Depth-first component exploration,O(V+E),O(log N),Node-link canvas (tree/list/trie)
110,Balanced Binary Tree,Tree / Trie,DFS,Tree DFS,+ Tree,Canonical: Path Sum / subtree DFS,O(V+E),O(H),Node-link canvas (tree/list/trie)
111,Minimum Depth of Binary Tree,Tree / Trie,BFS,Level-order traversal,+ Counting,Canonical: Binary Tree Level Order Traversal,O(V+E),O(V),Node-link canvas (tree/list/trie)
112,Path Sum,Graph / Network,DFS,Depth-first traversal,+ Tree,Canonical: Depth-first component exploration,O(V+E),O(H),Strip / timeline / pointer canvas
113,Path Sum II,Graph / Network,DFS,Depth-first traversal,None,Canonical: Depth-first component exploration,O(H),O(H),Strip / timeline / pointer canvas
114,Flatten Binary Tree to Linked List,Linked List,Tree,Recursive subtree aggregation,None,Canonical: Binary Tree recursion,O(N),O(H),Node-link canvas (tree/list/trie)
115,Distinct Subsequences,Matrix / Grid,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,O(1),O(S · T),Grid / board canvas
116,Populating Next Right Pointers in Each Node,Linked List,Linked List,Pointer manipulation on list nodes,+ Counting,Canonical: Pointer rewiring on linked list,O(N),O(1),Node-link canvas (tree/list/trie)
117,Populating Next Right Pointers in Each Node II,Linked List,Linked List,Dummy-node merge / splice,None,Canonical: Merge Two Sorted Lists,O(1),O(1),Node-link canvas (tree/list/trie)
118,Pascal's Triangle,Matrix / Grid,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(states × transitions),O(N^2),Grid / board canvas
119,Pascal's Triangle II,Array / Sequence,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,O(k),O(k),State-table / recurrence canvas
120,Triangle,Matrix / Grid,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,O(N^2),O(1),Grid / board canvas
121,Best Time to Buy and Sell Stock,Number / Bit / Math,Sliding Window,Variable-size window,+ Greedy Check,Canonical: Minimum Window / variable-size window,O(N),O(1),Graph / state-network canvas
122,Best Time to Buy and Sell Stock II,Number / Bit / Math,Greedy,Local-choice optimization,+ Hash Map,Canonical: Gas Station / local-choice greedy,O(N),O(1),Graph / state-network canvas
123,Best Time to Buy and Sell Stock III,Matrix / Grid,Dynamic Programming,State-transition DP,+ Prefix/Suffix,Canonical: Coin Change / state-transition DP,O(N),O(1),Grid / board canvas
124,Binary Tree Maximum Path Sum,Tree / Trie,DFS,Tree DFS,+ Tree,Canonical: Path Sum / subtree DFS,O(V+E),O(H),Node-link canvas (tree/list/trie)
125,Valid Palindrome,String / Text,Two Pointers,Opposite-end pinch,None,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Coordinate-plane canvas
126,Word Ladder II,String / Text,BFS,Single-source breadth-first traversal,None,Canonical: Shortest-path layer BFS,O(V+E),O(N · L),Graph / state-network canvas
127,Word Ladder,String / Text,BFS,Single-source breadth-first traversal,None,Canonical: Shortest-path layer BFS,O(V+E),O(1),Coordinate-plane canvas
128,Longest Consecutive Sequence,Array / Sequence,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,O(N),O(N),Lookup-table / bucket canvas
129,Sum Root to Leaf Numbers,Number / Bit / Math,DFS,Depth-first traversal,None,Canonical: Depth-first component exploration,O(V+E),O(H),Node-link canvas (tree/list/trie)
130,Surrounded Regions,Matrix / Grid,DFS,Flood-fill / component DFS,None,Canonical: Number of Islands,O(V+E),O(V),Grid / board canvas
131,Palindrome Partitioning,String / Text,Backtracking,Choice tree with undo,None,Canonical: Permutations / combinations search,O(N),O(N^2),Node-link canvas (tree/list/trie)
132,Palindrome Partitioning II,Matrix / Grid,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,O(M·N),O(N),Grid / board canvas
133,Clone Graph,Graph / Network,BFS,Single-source breadth-first traversal,+ Hash Map,Canonical: Shortest-path layer BFS,O(V+E),O(V),Node-link canvas (tree/list/trie)
134,Gas Station,Array / Sequence,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N),O(1),Graph / state-network canvas
135,Candy,Number / Bit / Math,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N),O(N),Strip / timeline / pointer canvas
136,Single Number,Number / Bit / Math,Bit / Mask,XOR / parity logic,+ Tree + Segment/Fenwick,Canonical: Single Number / XOR invariant,O(N),O(1),Coordinate-plane canvas
137,Single Number II,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Bitmask + Tree + Segment/Fenwick,Canonical: Exact custom named technique,Custom / source-specific,O(1),Container canvas (stack/queue/heap)
138,Copy List with Random Pointer,Linked List,Linked List,Pointer manipulation on list nodes,None,Canonical: Pointer rewiring on linked list,O(N),O(1),Node-link canvas (tree/list/trie)
139,Word Break,Matrix / Grid,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,O(N),O(N),Grid / board canvas
140,Word Break II,String / Text,Backtracking,Choice tree with undo,None,Canonical: Permutations / combinations search,O(branch^depth),O(depth),State-table / recurrence canvas
141,Linked List Cycle,Linked List,Linked List,Fast-slow pointer cycle / middle,None,Canonical: Linked List Cycle,O(N),O(1),Node-link canvas (tree/list/trie)
142,Linked List Cycle II,Linked List,Two Pointers,Fast-slow chase,None,Canonical: Linked List Cycle,O(N),O(1),Node-link canvas (tree/list/trie)
143,Reorder List,Linked List,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(1),Node-link canvas (tree/list/trie)
144,Binary Tree Preorder Traversal,Tree / Trie,Stack,LIFO state maintenance,None,Canonical: Valid Parentheses,O(N),O(N),Container canvas (stack/queue/heap)
145,Binary Tree Postorder Traversal,Tree / Trie,Stack,Dual-stack transfer / evaluation,None,Canonical: Valid Parentheses,O(N),O(H),Container canvas (stack/queue/heap)
146,LRU Cache,Linked List,Linked List,Pointer manipulation on list nodes,+ Hash Map,Canonical: Pointer rewiring on linked list,O(N),O(Capacity),Node-link canvas (tree/list/trie)
147,Insertion Sort List,Linked List,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,Custom / source-specific,Custom / source-specific,Node-link canvas (tree/list/trie)
148,Sort List,Linked List,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,Custom / source-specific,O(log N),Strip / timeline / pointer canvas
149,Max Points on a Line,Intervals / Geometry / Coordinates,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,O(N),O(N),Lookup-table / bucket canvas
150,Evaluate Reverse Polish Notation,Object / Process / API,Shell / Unix,Pipeline / text processing,+ Stack,Canonical: Text-processing pipeline,O(N),Custom / source-specific,Container canvas (stack/queue/heap)
151,Reverse Words in a String,String / Text,Two Pointers,Boundary / pointer sweep,+ String Parsing,Canonical: Two Sum II / Container With Most Water,O(N),O(N),Coordinate-plane canvas
152,Maximum Product Subarray,Array / Sequence,Dynamic Programming,State-transition DP,+ Greedy Check,Canonical: Coin Change / state-transition DP,O(states × transitions),O(1),State-table / recurrence canvas
153,Find Minimum in Rotated Sorted Array,Number / Bit / Math,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,O(log N),O(1),Coordinate-plane canvas
154,Find Minimum in Rotated Sorted Array II,Number / Bit / Math,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,O(log N),O(1),Coordinate-plane canvas
155,Min Stack,Array / Sequence,Stack,Dual-stack transfer / evaluation,None,Canonical: Valid Parentheses,O(N),O(N),Container canvas (stack/queue/heap)
156,Binary Tree Upside Down,Tree / Trie,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,Custom / source-specific,O(1),Node-link canvas (tree/list/trie)
157,Read N Characters Given Read4,String / Text,Simulation / Scan / Precompute,Direct simulation / scan,None,Canonical: Direct simulation,O(N),O(1),Object / process canvas
158,Read N Characters Given Read4 II,String / Text,Counting,Count-driven scan,None,Canonical: Frequency counting,O(N),O(N),Lookup-table / bucket canvas
159,Longest Substring with At Most Two Distinct Characters,Tree / Trie,Sliding Window,Variable-size + frequency/uniqueness control,+ Hash Map + Counting,Canonical: Longest Substring Without Repeating Characters,O(N),O(1),Node-link canvas (tree/list/trie)
160,Intersection of Two Linked Lists,Linked List,Two Pointers,Boundary / pointer sweep,None,Canonical: Merge / reverse linked-list pointers,O(N),O(1),Node-link canvas (tree/list/trie)
161,One Edit Distance,Intervals / Geometry / Coordinates,Simulation / Scan / Precompute,Single-pass scan,None,Canonical: Linear scan with running state,O(N),O(1),Strip / timeline / pointer canvas
162,Find Peak Element,Array / Sequence,Binary Search,Exact / partition binary search,+ Hash Map,Canonical: Binary Search / median partition,O(log N),O(1),Coordinate-plane canvas
163,Missing Ranges,Intervals / Geometry / Coordinates,Simulation / Scan / Precompute,Direct simulation / scan,None,Canonical: Direct simulation,O(N),O(1),Strip / timeline / pointer canvas
164,Maximum Gap,Array / Sequence,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,Custom / source-specific,O(N),Lookup-table / bucket canvas
165,Compare Version Numbers,Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ String Parsing,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Coordinate-plane canvas
166,Fraction to Recurring Decimal,Number / Bit / Math,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,O(N),O(D),Lookup-table / bucket canvas
167,Two Sum II - Input Array Is Sorted,Number / Bit / Math,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Coordinate-plane canvas
168,Excel Sheet Column Title,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(log N),O(1),Strip / timeline / pointer canvas
169,Majority Element,Number / Bit / Math,Counting,Voting / dominant element,+ Greedy Check,Canonical: Majority Element,O(N),O(1),Strip / timeline / pointer canvas
170,Two Sum III - Data structure design,Array / Sequence,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(N),O(N),Lookup-table / bucket canvas
