ID,Problem Title,Optimised Pattern,How to Draw (Opt),Anatomy Bucket
29,Divide Two Integers,Bit Manipulation (Exponential Subtraction),"Draw the Dividend block. Draw a Divisor block that visually doubles in size (1x, 2x, 4x, 8x) until it almost overflows the Dividend. Subtract the largest chunk, write down the multiplier, and restart.",Strip / timeline / pointer canvas
30,Substring with Concatenation of All Words,Sliding Window + Hash Maps,"Draw the main string. Bracket a window of size `W * len`. Inside the bracket, draw vertical lines slicing it into individual words. Compare those slices to a drawn Hash Map of target words.",Node-link canvas (tree/list/trie)
31,Next Permutation,"Find Dip, Swap, Reverse","Draw the array as a 2D line graph. Scanning left from the end, draw an arrow pointing to the first drop in elevation (the dip). Swap it with a slightly higher peak to its right, then draw a flat line showing the rest being sorted (reversed).",Graph / state-network canvas
32,Longest Valid Parentheses,Two Counters (Left/Right Passes),"Draw the string. Draw two tally boxes (L and R). Scan forward. When L and R match, draw a ""Max Length"" box updating. If R exceeds L, draw a red ""X"" and zero out the tallies. Repeat backwards.",Lookup-table / bucket canvas
33,Search in Rotated Sorted Array,Modified Binary Search,"Draw a line graph that goes up, breaks, drops down, and goes up again. Draw a vertical line down the middle. Circle the half that is an unbroken straight line and write ""Is Target Here?""",Graph / state-network canvas
34,Find First and Last Position of Element in Sorted Array,Double Binary Search,Draw an array. Draw one binary search tree converging to place a `[` on the leftmost target. Draw a completely separate binary search tree converging to place a `]` on the rightmost target.,Strip / timeline / pointer canvas
35,Search Insert Position,Standard Binary Search,"Draw a sorted array. Draw `L` and `R` pointers closing in. Draw the moment they cross: `R` is now behind `L`. Draw an arrow pointing at `L` saying ""Insert Here"".",Coordinate-plane canvas
36,Valid Sudoku,Single Pass (Hash Sets),"Draw one cell at `(r, c)`. Draw three distinct buckets (Row, Col, Box) next to it. Drop the number into all three. If a bucket already has that number, draw a red ""X"" (Invalid).",Grid / board canvas
37,Sudoku Solver,Backtracking (DFS),"Draw a mini 3x3 grid. Write a '2'. Draw an arrow to the next cell, write '5'. Hit a wall. Erase '5', write '6'. Erase '6', write '7'. Draw the ""erase and rewrite"" motion heavily.",Grid / board canvas
38,Count and Say,Two Pointers + String Builder,"Draw ""111221"". Put 'S' and 'E' at index 0. Slide 'E' right until it hits '2'. Bracket the ""111"". Write ""Three 1s"" -> append ""31"". Move 'S' to 'E'.",Coordinate-plane canvas
39,Combination Sum,Backtracking (Include/Exclude),"Draw a target number (e.g., 7). Draw a fork. Left: pick '2' (Target becomes 5, stay on '2'). Right: skip '2' (Target remains 7, move to '3').",Strip / timeline / pointer canvas
40,Combination Sum II,Sort + Backtracking (Skip Dupes),"Draw a sorted array: `[1, 1, 2, 5, 6]`. Start a branch with the first '1'. When the loop moves to the second '1', draw a giant red curved arrow jumping over it to '2'.",Strip / timeline / pointer canvas
41,First Missing Positive,Cyclic Sort (Index as Map),Draw an array. Point at number '3' in index 0. Draw a curved arrow picking up '3' and swapping it with whatever is at index 2. Repeat until index 0 holds '1' or a useless number (like -5).,Lookup-table / bucket canvas
42,Trapping Rain Water,Two Pointers (Inward Squeeze),"Draw a bar chart. Put L on the left, R on the right. If L's max is shorter than R's max, draw a blue water block above L, and move L inward. Erase and redraw the max line as they climb.",Coordinate-plane canvas
43,Multiply Strings,Array Math (Grade School Multiplication),Draw standard elementary school vertical multiplication. Draw arrows linking the top digit `i` and bottom digit `j` directly into a pre-sized array box at position `i+j+1` (holding the digit) and `i+j` (holding the carry).,Formula / invariant canvas
44,Wildcard Matching,Two Pointers + Greedy Backtrack,"Draw string S and pattern P. Draw a star icon over the `*` in P. Draw a pointer moving right in S. When a mismatch hits, draw a curved arrow snapping the pointer back to the star icon, shifting it right by one.",Coordinate-plane canvas
45,Jump Game II,Greedy (BFS-Style Window),Draw the array. Bracket index 0. That's Jump 0. Look at the values inside the bracket to find the furthest reach. Bracket that new range. That's Jump 1. Repeat until the bracket covers the end.,Strip / timeline / pointer canvas
46,Permutations,Backtracking (In-Place Swap),"Draw an array `[1, 2, 3]`. Point at index 0. Swap `1` with itself, branch down. Swap `1` with `2`, branch down. Swap `1` with `3`, branch down. Always draw a curved arrow swapping them back when moving up.",Coordinate-plane canvas
47,Permutations II,Sort + Backtracking (Used Array / Skip),"Draw a sorted array `[1, 1, 2]`. Branch off the first `1`. When the loop reaches the second `1`, draw a thick red ""X"" through its branch, writing ""Duplicate Sibling Skipped"".",Strip / timeline / pointer canvas
48,Rotate Image,Transpose + Reverse Rows,"Draw a square grid. Draw a diagonal line from top-left to bottom-right. Fold the numbers across the diagonal (Transpose). Then, draw a vertical line down the middle and flip the left and right sides (Reverse).",Grid / board canvas
49,Group Anagrams,Hash Map (Sorted Key / Char Count),"Draw three buckets. Label one ""aet"", one ""ant"", one ""abt"". Draw strings (""eat"", ""tea"", ""ate"") falling cleanly into the ""aet"" bucket.",Lookup-table / bucket canvas
50,"Pow(x, n)",Binary Exponentiation,"Draw a starting box `2^10`. Next arrow points to `4^5` (base squared, power halved). Next points to `4 * 16^2` (handled the odd power). Next points to `4 * 256^1`.",Coordinate-plane canvas
51,N-Queens,Backtracking (Row-by-Row + Bitsets),Draw an N×N board. Place a 'Q'. Draw vertical and diagonal red lines emanating from it. Move to the next row and only place a 'Q' in the white (unshaded) spaces.,Grid / board canvas
52,N-Queens II,Backtracking (Counter Only),"Draw a simple ""counter"" box next to a backtracking tree. Every time a ""Leaf"" node is reached (success), show the counter incrementing `+1`. No board is drawn.",Grid / board canvas
53,Maximum Subarray,Kadane’s Algorithm (Greedy/DP),"Draw a running total box. As you move through the array, if the box becomes negative, ""empty"" it (reset to 0) and start fresh with the next number.",State-table / recurrence canvas
54,Spiral Matrix,Boundary Shrinking,"Draw a grid. Draw four thick lines representing the borders. After each side is traversed, draw an arrow showing that border line physically moving inward.",Grid / board canvas
55,Jump Game,Greedy (Max Reach),"Draw the array. Draw a flag representing the `farthest` reachable point. As you walk forward, push the flag as far as the current spot allows. If you ever walk past the flag, you lose.",Coordinate-plane canvas
56,Merge Intervals,Sorting + Linear Scan,"Draw a horizontal timeline. Place intervals as segments above it. Draw a ""Merge"" bracket joining segments that physically touch or overlap.",Relational table canvas
57,Insert Interval,Three-Phase Linear Scan,"Draw three shaded regions on a timeline: ""Left (No Overlap)"", ""Middle (Merging Zone)"", and ""Right (Remaining)"". Place the intervals into their respective regions.",Strip / timeline / pointer canvas
58,Length of Last Word,Backward Pointer Scan,"Draw the string with an arrow at the very end pointing left. Draw the arrow hopping over empty spaces, then dragging through the letters of the last word.",Coordinate-plane canvas
59,Spiral Matrix II,Boundary Contraction,"Draw a square grid. Draw four arrows (T, B, L, R) pointing inward. As you finish a side, physically move that arrow's line one step toward the center.",Grid / board canvas
60,Permutation Sequence,Factorial Number System (Math),"Draw a set of digits {1, 2, 3, 4}. Use the formula to ""pluck"" one number out and place it in the result. Repeat with the remaining smaller set.",Formula / invariant canvas
61,Rotate List,The Circular Link (Ring),"Draw the list. Draw a curved line connecting the last node back to the first. Then, draw a ""scissor"" icon cutting the link at the specific index to turn the circle back into a line.",Node-link canvas (tree/list/trie)
62,Unique Paths,Dynamic Programming (1D/2D),"Draw an M x N grid. Fill the first row and column with 1s. For cell `(1,1)`, look at the 1 above and 1 to the left; write '2' in the cell. Continue summing neighbors.",Grid / board canvas
63,Unique Paths II,DP with Obstacle Guard,"Draw the grid with a blacked-out obstacle cell. When filling the grid, if you reach the black cell, write '0' and move on. Show how the sums ""flow"" around the obstacle.",Grid / board canvas
64,Minimum Path Sum,Dynamic Programming (In-Place),"Draw the grid. For each cell, look at the values above and to the left. Pick the smaller one, add the current cell's value, and write it over the original number.",Grid / board canvas
65,Valid Number,Deterministic Finite Automaton (DFA),"Draw 6-8 circles (States). Draw arrows between them labeled with types (Digit, '.', 'e', '+/-'). Trace the string ""3.14e-10"" as a marble rolling from circle to circle.",Graph / state-network canvas
66,Plus One,Reverse Linear Scan,"Draw the array `[9, 9, 9]`. Start at the end. Change 9 to 0, move left. Change 9 to 0, move left. Change 9 to 0. Draw a ""New Box"" at the front and put '1' inside.",Strip / timeline / pointer canvas
67,Add Binary,Two-Pointer Bitwise Addition,"Stack ""1010"" and ""1011"". Draw vertical columns. 0+1=1, carry 0. 1+1=0, carry 1. 0+0+1=1, carry 0. 1+1=0, carry 1. Result: ""10101"".",Container canvas (stack/queue/heap)
68,Text Justification,Greedy Word Packing + Round Robin Spacing,"Draw a line with 3 words. Space needed = 7. Gaps = 2. 7 / 2 = 3 spaces each, with 1 remainder. Give 4 spaces to gap 1 and 3 spaces to gap 2.",Strip / timeline / pointer canvas
69,Sqrt(x),"Binary Search (Range [0, x])","Draw a line from 0 to 100. Mark 50. 50^2 = 2500 (Too big). Cut range to [0, 49]. Mark 25. 25^2 = 625 (Too big). Repeat until range collapses.",Strip / timeline / pointer canvas
70,Climbing Stairs,Iterative DP (Fibonacci),"Draw steps 1, 2, 3, 4, 5. Under step 1, write '1'. Under step 2, write '2'. For step 3, add 1+2=3. For step 4, add 2+3=5.",State-table / recurrence canvas
71,Simplify Path,Stack (Push/Pop on Chunks),"Draw a vertical stack. For ""/home/user/../docs/./"", push ""home"", push ""user"". Encounter "".."", pop ""user"". Encounter ""docs"", push ""docs"". Result: ""/home/docs"".",Container canvas (stack/queue/heap)
72,Edit Distance,2D Dynamic Programming,"Draw a grid with ""horse"" on top and ""ros"" on left. Fill cell by cell. Show how each cell ""looks"" at its 3 neighbors to the top and left to find the cheapest path.",Container canvas (stack/queue/heap)
73,Set Matrix Zeroes,In-Place State Marking,"Draw a grid. When you hit a 0 at `(2,3)`, draw an arrow pointing to the ""0"" at the start of Row 2 and the ""0"" at the top of Col 3. Those are your ""flags"".",Grid / board canvas
74,Search a 2D Matrix,Binary Search (Flattened Index),"Draw a grid. Label cells from 0 to 11. Pick `mid = 5`. Draw the math: 5 / 4 = Row  1, 5 % 4 = Col  1. Target the cell `(1,1)` and split the virtual array.",Grid / board canvas
75,Sort Colors,Dutch National Flag (3-Pointer),"Draw an array. Place `L` at the start, `H` at the end, `M` in the middle. Show 0s being kicked to the left of `L` and 2s being kicked to the right of `H`.",Coordinate-plane canvas
76,Minimum Window Substring,Sliding Window (Two Pointers + Map),"Draw string S and a frequency map for T. As `R` moves, subtract from map. If a map value hits 0, a character is ""satisfied."" When all are satisfied, move `L` to shrink.",Node-link canvas (tree/list/trie)
77,Combinations,Backtracking (DFS + Lexicographic),"Draw a tree starting at root. Branch to 1, 2, 3... From 1, branch only to 2, 3... (skipping 1). From 2, branch only to 3... (skipping 1, 2).",Graph / state-network canvas
78,Subsets,Cascading / Bitmasking,"Start: `[[]]`. Next (1): `[[], [1]]`. Next (2): Take existing, add 2: `[2], [1, 2]`. Result: `[[], [1], [2], [1, 2]]`.",Range / bit-state canvas
79,Word Search,Backtracking (DFS + In-Place Mark),"Draw a 2D grid. Trace a path A to B to C. At C, if there's no match, ""undo"" the path C to B to A to try a different direction from B.",Grid / board canvas
80,Remove Duplicates from Sorted Array II,Two Pointers (Slow/Fast with Offset),"Draw an array. Place `S` at index 2, `F` at index 2. Compare `arr[F]` with `arr[S-2]`. If different, write `arr[F]` to `arr[S]` and move `S`.",Coordinate-plane canvas
81,Search in Rotated Sorted Array II,Binary Search (Shrinking Bound),"Draw a graph with two plateaus at the same height. Show that if the middle is also that height, we must ""step in"" from both sides until we find a slope to apply binary search.",Graph / state-network canvas
82,Remove Duplicates from Sorted List II,Sentinel Node + Two Pointers,"Draw a list `1->2->2->3`. Use a `Dummy`. `prev` stays at 1. When it sees `2->2`, it jumps directly to `3`. Draw the pointer bypassing the entire ""2"" block.",Node-link canvas (tree/list/trie)
83,Remove Duplicates from Sorted List,Single Pass (In-Place),"Draw `1->1->1->2`. Pointer stays at the first `1`. It deletes the second `1`, then the third `1`. Finally, it moves to `2`.",Coordinate-plane canvas
84,Largest Rectangle in Histogram,Monotonic Stack,"Draw a stack. Push heights: `[2, 1, 5, 6]`. When `2` comes, it's smaller than the previous height? No. When `1` comes, it pops the taller ones, calculates area, and takes their place.",Container canvas (stack/queue/heap)
85,Maximal Rectangle,DP + Largest Histogram (Q84),"Draw a grid. For row 1, heights are `[1, 0, 1]`. For row 2, if there's a 1 below a 1, height becomes 2. Now run the ""Histogram"" visual on these heights.",Grid / board canvas
86,Partition List,Two Dummy Nodes (Merging Streams),"Draw the original list. Draw two stars (Dummies). As you move through the list, ""sever"" the arrow of the current node and point it to the tail of the appropriate dummy list.",Node-link canvas (tree/list/trie)
87,Scramble String,3D Dynamic Programming / Memoization,Draw a 3D grid where `dp[len][i][j]` represents if `s1[i...i+len]` is a scramble of `s2[j...j+len]`. Fill small lengths first and build up to length N.,Grid / board canvas
88,Merge Sorted Array,Three Pointers (Backward Fill),"Draw `nums1` and `nums2`. Place `p` at the far right of `nums1`. Compare `p1` and `p2`. Whichever is bigger moves to `p`, then `p` and that pointer move left.",Coordinate-plane canvas
89,Gray Code,Iterative Mirroring / Bitwise Formula,"Draw a list: `0, 1`. Mirror it: `1, 0`. Add 2^1 (which is 2) to the mirrored part: `2, 3`. New list: `0, 1, 3, 2`.",Formula / invariant canvas
90,Subsets II,Sort + Backtracking (Sibling Skip),"Draw a tree for `[1, 2, 2]`. From the root, branch to 1 and the *first* 2. Put a red ""X"" through the branch for the *second* 2, saying ""Already picked a 2 here.""",Strip / timeline / pointer canvas
91,Decode Ways,1D Dynamic Programming (Fibonacci-like),"Draw a line of cells. For each cell, look back at the previous one and the one before that. Draw arrows showing the ""flow"" of counts, but only if the decoding rules allow it.",Grid / board canvas
92,Reverse Linked List II,"In-Place ""Leapfrog"" Reversal","Draw `pre -> curr -> next -> ...`. Draw a ""jump"" arrow where `curr` skips `next` to point to `next.next`, and `next` is ""re-threaded"" to point to where `pre.next` was.",Node-link canvas (tree/list/trie)
93,Restore IP Addresses,Backtracking with Pruning,"Draw a tree with a maximum depth of 4. From the root, branch 1, 2, or 3 digits. If you branch ""300"", put a red ""X"" through it because it's > 255.",Formula / invariant canvas
94,Binary Tree Inorder Traversal,Iterative with Stack (or Morris),"Draw a tree and a vertical bucket (Stack). Push the left spine of the tree into the bucket. Pop one, then look at its right child and repeat.",Container canvas (stack/queue/heap)
95,Unique Binary Search Trees II,Recursion with Memoization,"Draw a Map where the Key is the range (e.g., ""1-3"") and the Value is a list of root pointers. Show the algorithm ""checking out"" a tree from the library instead of building it.",Lookup-table / bucket canvas
96,Unique Binary Search Trees,Dynamic Programming (Catalan Number),"Draw an array `dp` from 0 to N. Fill `dp[0]=1, dp[1]=1`. For `dp[3]`, show three pairs of multiplications: (dp[0] * dp[2]) + (dp[1] * dp[1]) + (dp[2] * dp[0]).",State-table / recurrence canvas
97,Interleaving String,2D Dynamic Programming,"Draw a grid with s1 on top and s2 on left. Start at (0,0) as `T`. A cell is `T` if (left is `T` AND s1 matches s3) OR (top is `T` AND s2 matches s3).",Grid / board canvas
98,Validate Binary Search Tree,Recursion with Range (Min/Max),"Draw a tree. At the root, write (-infty, infty). For the left child, write (-infty, RootValue). For the right, (RootValue, infty). Keep narrowing the boxes.",Strip / timeline / pointer canvas
99,Recover Binary Search Tree,Morris Inorder Traversal,"Draw a tree. Draw a ""thread"" (dashed line) from the right-most node of a left subtree back to the current root. Use this thread to return without a stack.",Container canvas (stack/queue/heap)
100,Same Tree,Recursive DFS (Structural Comparison),"Draw two identical trees side-by-side. Point to the root of both simultaneously. Move both ""fingers"" to the left child, then right child, checking for a match at every stop.",Coordinate-plane canvas
101,Symmetric Tree,Two-pointer recursive DFS (or BFS with queue).,"Draw a single tree. Use two different colored pens (e.g., red and blue) to trace the mirrored paths simultaneously from the root downward.",Container canvas (stack/queue/heap)
102,Binary Tree Level Order Traversal,BFS using a Queue.,Draw the tree. Draw horizontal dashed lines separating each level. Draw a box beside it representing the queue updating at each dashed line.,Container canvas (stack/queue/heap)
103,Binary Tree Zigzag Level Order Traversal,BFS with a Double-ended Queue (Deque) and a boolean direction flag.,"Draw the tree. Draw solid arrows moving left-to-right on row 1, right-to-left on row 2, alternating down.",Container canvas (stack/queue/heap)
104,Maximum Depth of Binary Tree,"Post-order Traversal (Bottom-Up DFS). 1 + max(left, right)","Write '1' next to all leaf nodes. Draw arrows pointing up to parents, crossing out the parent and writing the max(children) + 1 .",Node-link canvas (tree/list/trie)
105,Construct Binary Tree from Preorder and Inorder Traversal,Hash Map for O(1) inorder index lookup + Recursive DFS.,"Draw the Hash Map explicitly. Cross off preorder elements sequentially, drawing them immediately as tree nodes.",Node-link canvas (tree/list/trie)
106,Construct Binary Tree from Inorder and Postorder Traversal,"Hash Map for O(1) inorder index lookup + Recursive DFS (Process postorder backwards: Root, Right, Left).","Draw the Hash Map. Cross off postorder elements from right-to-left. Draw the tree building downwards, strictly branching right before left.",Node-link canvas (tree/list/trie)
107,Binary Tree Level Order Traversal II,"BFS with a Queue + Prepending to a Deque/Linked List for the result (or standard array reversal, which is practically optimal in many languages).","Draw the tree. As you process a level, draw its resulting array box underneath the previously processed level's array box, pushing older ones up.",Container canvas (stack/queue/heap)
108,Convert Sorted Array to Binary Search Tree,"Divide and Conquer / DFS. Find mid, make root, recurse left half, recurse right half.","Draw the array. Circle the middle element. Draw arrows from the left half to a left child placeholder, and right half to a right child placeholder. Repeat.",Coordinate-plane canvas
109,Convert Sorted List to Binary Search Tree,"Inorder Simulation (DFS). Calculate list length. Build left subtree, assign current list node as root, advance list pointer, build right subtree.","Draw the Linked List. Draw the empty tree structure. Trace the Inorder traversal path, filling in the empty tree nodes strictly in the order of the Linked List.",Node-link canvas (tree/list/trie)
110,Balanced Binary Tree,"Bottom-Up DFS. Return the height of the subtree if it is balanced. If it is ever unbalanced, return -1 immediately to short-circuit.","Draw the tree. Write heights next to nodes starting from the bottom. If a parent sees a difference > 1, write ""-1"" boldly and strike through the rest of the path up.",Node-link canvas (tree/list/trie)
111,Minimum Depth of Binary Tree,BFS (Level Order Traversal) with an early exit on the first leaf node encountered.,Draw horizontal lines for levels. Stop drawing and circle the very first node you see that lacks children. Cross out the rest of the tree below it.,Node-link canvas (tree/list/trie)
112,Path Sum,DFS (Pre-order) with target subtraction (passing `target - node.val` down the recursion).,"Write the starting target at the root. Cross it out, write `target - root.val`, and draw an arrow passing this new number down to children.",Strip / timeline / pointer canvas
113,Path Sum II,"DFS with Backtracking. Maintain a single shared path list: `push` node, recurse, `pop` node.","Draw a single list box. Write a value in it (push), draw a downward arrow. Erase the value (pop), draw an upward arrow. Repeat.",Strip / timeline / pointer canvas
114,Flatten Binary Tree to Linked List,"Reverse Post-order Traversal (Right, Left, Root) maintaining a global `prev` pointer.",Draw the tree. Start at the bottom-right-most node. Draw an arrow from its `right` pointer to `prev` (initially null). Update `prev` to point to it. Move backwards.,Node-link canvas (tree/list/trie)
115,Distinct Subsequences,2D Dynamic Programming (Bottom-Up Tabulation).,"Draw a 2D matrix. `s` on rows, `t` on cols. Fill base cases (empty `t` = 1). Fill row by row, carrying values from the top and top-left cells.",Grid / board canvas
116,Populating Next Right Pointers in Each Node,Level-by-Level Linked List Traversal (using existing `next` pointers to traverse horizontally).,"Draw a tree. Use your finger to trace horizontally across level L. As your finger moves, draw straight dashed lines connecting the children on level L+1.",Node-link canvas (tree/list/trie)
117,Populating Next Right Pointers in Each Node II,Linked List Traversal with a Dummy Head (tracking the start of the next level).,"Draw the tree. Draw a ""Dummy"" circle on the left of an empty level. As you scan the level above, draw arrows from the dummy chain to the found children.",Node-link canvas (tree/list/trie)
118,Pascal's Triangle,Dynamic Programming (Tabulation). Building the current row iteratively from the directly previous row.,"Draw a staggered grid. Fill the edges with 1s. To fill an empty cell, draw two V-shaped arrows coming from the top-left and top-right cells, adding them together.",Grid / board canvas
119,Pascal's Triangle II,1D Dynamic Programming (Rolling Array) calculated strictly from right-to-left.,Draw a single 1D array. Update the values strictly from right to left using the old left value and the current value. Show how left-to-right overwrites data prematurely.,State-table / recurrence canvas
120,Triangle,Bottom-Up Dynamic Programming (In-place or rolling 1D array).,"Draw the triangle. Start at the bottom row. Move up one row. For each cell, look at the two cells directly below it, pick the smaller, and add it to the current cell. Cross out the bottom row.",Grid / board canvas
121,Best Time to Buy and Sell Stock,One-pass Greedy / Kadane’s-like Sliding Window.,"Draw a line graph of prices. As you move left to right, keep a dotted horizontal line at the lowest point seen so far. Measure the vertical gap to the current point.",Graph / state-network canvas
122,Best Time to Buy and Sell Stock II,Greedy Algorithm (Summing Positive Slopes).,"Draw a price graph. Circle every upward-sloping line segment. Draw ""+"" signs over them and a total sum box at the end.",Graph / state-network canvas
123,Best Time to Buy and Sell Stock III,Dynamic Programming (4-state variables) or Prefix/Suffix Profit Arrays.,Draw a 2xN grid or two 1D arrays (Left-to-Right max profit and Right-to-Left max profit). Sum them up to find the peak.,Grid / board canvas
124,Binary Tree Maximum Path Sum,Bottom-Up DFS (Post-order Traversal) with a Global Max tracker.,"Draw a tree. Write the ""contribution"" value (best path up) next to each node. Use a ""Global Max"" box in the corner to update as you see bigger combined paths.",Node-link canvas (tree/list/trie)
125,Valid Palindrome,Two-Pointer Technique (Meeting in the center).,"Draw the string. Place a 'L' finger on the first letter and a 'R' finger on the last. Move them inward, skipping symbols until they point at letters.",Coordinate-plane canvas
126,Word Ladder II,BFS (to find shortest distances) + DFS/Backtracking (to reconstruct paths).,"Draw a level-order graph. Label each word with its level (0, 1, 2...). Only draw arrows that move from level k to k+1.",Graph / state-network canvas
127,Word Ladder,BFS with Character Mutation (a to z).,Draw the start word. Draw 26 small tick marks for the first letter. Circle only the tick marks that match a real word. Repeat.,Coordinate-plane canvas
128,Longest Consecutive Sequence,Hash Set (Intelligent Starting Points).,"Draw a number line. Circle the numbers you have. Put a ""Start Here"" flag only on the left-most number of each clustered island.",Lookup-table / bucket canvas
