custom_label,question_count,problem_ids,problem_titles,raw_pattern_examples
Bi-directional Linear Scan with Last-Seen Map. O(N,1,3488,Closest Equal Element Queries,Bi-directional Linear Scan with Last-Seen Map. O(N + Q)
Binary Exponentiation,1,50,"Pow(x, n)",Binary Exponentiation
Binary Exponentiation (Fast Power),1,1922,Count Good Numbers,Binary Exponentiation (Fast Power)
Binary Offset Mapping,1,1256,Encode Number,Binary Offset Mapping
Blocking Main Thread (Visualizing the CPU stuck in a loop waiting for the async task),1,2776,Convert Callback to Promise (JS),Blocking Main Thread (Visualizing the CPU stuck in a loop waiting for the async task)
Boolean Array,1,2682,Find the Losers of the Circular Game,Boolean Array + Step Increment
Boolean Indexing: df[df['id'] == 101],1,2880,Select Data (Filtering),Boolean Indexing: df[df['id'] == 101]
Boundary Contraction,1,59,Spiral Matrix II,Boundary Contraction
Boundary Shrinking,1,54,Spiral Matrix,Boundary Shrinking
Brainteaser / Logical Deduction,1,1332,Remove Palindromic Subsequences,Brainteaser / Logical Deduction
Brute Force (Small Constraints),1,2932,Maximum Strong Pair XOR I,Brute Force (Small Constraints)
Brute Force / Constraint Optimization,1,1534,Count Good Triplets,Brute Force / Constraint Optimization
Brute Force Path Memory (Storing every conceivable route configuration simultaneously),1,2714,Find Shortest Path with K Hops,Brute Force Path Memory (Storing every conceivable route configuration simultaneously)
Brute Force with Early Exit (Small Constraints),1,3345,Smallest Divisible Digit Product I,Brute Force with Early Exit (Small Constraints)
Buffer Scan (Visualizing the database engine reading the text column repeatedly for each word),1,2738,Count Occurrences in Text (SQL),Buffer Scan (Visualizing the database engine reading the text column repeatedly for each word)
Buffered Chunk Processing with Bound Checking,1,157,Read N Characters Given Read4,Buffered Chunk Processing with Bound Checking
COUNT(DISTINCT customer_id),1,2082,The Number of Rich Customers (SQL),COUNT(DISTINCT customer_id)
Chained Operations: df.loc[...].sort_values(...)[['name']],1,2891,Method Chaining,Chained Operations: df.loc[...].sort_values(...)[['name']]
"Chebyshev Distance (Max of ΔX, ΔY)",1,1266,Minimum Time Visiting All Points,"Chebyshev Distance (Max of ΔX, ΔY)"
Closure / Higher-Order Function,1,2666,Allow One Function Call,Closure / Higher-Order Function
Column-Wise Linear Scan,1,2639,Find the Width of Columns of a Grid,Column-Wise Linear Scan
Column-Wise Max Pre-calculation,1,3033,Modify the Matrix,Column-Wise Max Pre-calculation
"Combinatorial Construction. Generate palindromes directly by mirroring the ""first half"" of the binary bits",1,3677,Count Binary Palindromic Numbers (Hard),"Combinatorial Construction. Generate palindromes directly by mirroring the ""first half"" of the binary bits"
Combinatorial Row Storage (Visualizing all row combinations in memory),1,2732,Find a Good Subset of Matrix,Combinatorial Row Storage (Visualizing all row combinations in memory)
Compare Current vs Next,1,13,Roman to Integer,Compare Current vs Next
Concurrency: 3 Semaphores,1,1116,Print Zero Even Odd,Concurrency: 3 Semaphores
Concurrency: Mutexes / Semaphores / Promises,1,1114,Print in Order,Concurrency: Mutexes / Semaphores / Promises
Concurrency: Two Alternating Semaphores,1,1115,Print FooBar Alternately,Concurrency: Two Alternating Semaphores
Condition Variables / Semaphores,1,1188,Design Bounded Blocking Queue,Condition Variables / Semaphores
Contribution of Each Character (Index tracking),1,828,Count Unique Characters of All Substrings,Contribution of Each Character (Index tracking)
Convex Hull,1,3588,Find Maximum Area of a Triangle (Med),Convex Hull + Rotating Calipers
Coordinate Mapping (Direct Indexing),1,2596,Check Knight Tour Configuration,Coordinate Mapping (Direct Indexing)
Coordinate Mapping (Precomputation),1,3242,Design Neighbor Sum Service,Coordinate Mapping (Precomputation)
Coordinate Min-Max Comparison,1,3047,Find the Largest Area of Square Inside Two Rectangles,Coordinate Min-Max Comparison
Coordinate Rotation (Chebyshev Transformation),1,3102,Minimize Manhattan Distances,Coordinate Rotation (Chebyshev Transformation)
Corner Count Set,1,391,Perfect Rectangle,Corner Count Set + Area Summation
"Cross Product (Orientation) For every three consecutive points, calculate the cross product. All cross products must have the same sign (all positive or all negative)",1,469,Convex Polygon,"Cross Product (Orientation) For every three consecutive points, calculate the cross product. All cross products must have the same sign (all positive or all negative)"
Custom Comparator / Partitioning,1,937,Reorder Data in Log Files,Custom Comparator / Partitioning
Cycle Decomposition (Permutation Theory),1,3863,Minimum Operations to Sort a String (Med.),Cycle Decomposition (Permutation Theory)
Date Filtering,1,2993,Friday Purchases I,Date Filtering + Grouping
Days Since Epoch (1971) Calculation,1,1360,Number of Days Between Two Dates,Days Since Epoch (1971) Calculation
Direct Comparison / O(1) Access,1,2236,Root Equals Sum of Children,Direct Comparison / O(1) Access
Direct Index Mapping (One-Pass),1,2075,Decode the Slanted Ciphertext,Direct Index Mapping (One-Pass)
Direct Indexing Compare `words[i].charAt(j)` with `words[j].charAt(i)` with boundary checks,1,422,Valid Word Square,Direct Indexing Compare `words[i].charAt(j)` with `words[j].charAt(i)` with boundary checks
Direct Integer Accumulation,1,1945,Sum of Digits of String After Convert,Direct Integer Accumulation
Direct Linear Scan with Set Lookup,1,2586,Count the Number of Vowel Strings in Range,Direct Linear Scan with Set Lookup
Direct Mapping,1,953,Verifying an Alien Dictionary,Direct Mapping + Pairwise Check
Direct SQL WHERE Clause,1,620,Not Boring Movies (SQL),Direct SQL WHERE Clause + ORDER BY
Divisor Iteration,1,3138,Minimum Length of Anagram Concatenation,Divisor Iteration + Freq Map Comparison
Double In-place Reversal (Reverse Whole,1,186,Reverse Words in a String II,Double In-place Reversal (Reverse Whole + Reverse Words)
Double Logarithmic Loop (Logarithmic Bounds),1,970,Powerful Integers,Double Logarithmic Loop (Logarithmic Bounds)
Double Loop with Square Root Check,1,1925,Count Square Sum Triples,Double Loop with Square Root Check
Dual-Map Bijection or Pattern Normalization,1,890,Find and Replace Pattern,Dual-Map Bijection or Pattern Normalization
Dynamic Prefix Maximum & Max-Difference Tracking,1,2874,Maximum Value of an Ordered Triplet II,Dynamic Prefix Maximum & Max-Difference Tracking
Dynamic SQL / Information Schema,1,2253,Dynamic Unpivoting of a Table,Dynamic SQL / Information Schema
Early Exit Iterator,1,1961,Check If String Is a Prefix of Array,Early Exit Iterator
Early-Exit Linear Comparison,1,2828,Check if a String Is an Acronym of Words,Early-Exit Linear Comparison
Edge-Centric,1,2242,Maximum Score of a Node Sequence,Edge-Centric + Top 3 Neighbors
Enumeration by Zero-Count (O(N√N)),1,3234,Count Substrings With Dominant Ones,Enumeration by Zero-Count (O(N√N))
Execution Context Overhead (Visualizing the engine creating and destroying complex scopes for every iteration),1,2804,Array Prototype ForEach (JS),Execution Context Overhead (Visualizing the engine creating and destroying complex scopes for every iteration)
Exhaustive Heatmap Search (Brute Force),1,1620,Coordinate With Maximum Network Quality,Exhaustive Heatmap Search (Brute Force)
Exponential State Memory (Visualizing the storage of all valid subarray combinations),1,2771,Longest Non-decreasing Subarray From Two Arrays,Exponential State Memory (Visualizing the storage of all valid subarray combinations)
Exponential State Search (Visualizing all possible combinations of powers being summed),1,2787,Ways to Express an Integer as Sum of Powers,Exponential State Search (Visualizing all possible combinations of powers being summed)
Fast Fourier Transform (FFT) or Karatsuba,1,3549,Multiply Two Polynomials (Hard),Fast Fourier Transform (FFT) or Karatsuba
Fast and Slow Pointers,1,2095,Delete the Middle Node of a Linked List,Fast and Slow Pointers
Filtered Select with Null Handling,1,584,Find Customer Referee (SQL),Filtered Select with Null Handling
"Find Dip, Swap, Reverse",1,31,Next Permutation,"Find Dip, Swap, Reverse"
"Finding Bound Indices (Last 1, First 3)",1,3431,Minimum Unlocked Indices to Sort Nums,"Finding Bound Indices (Last 1, First 3) + Linear locked-state count. O(N)"
First/Last Index Pre-computation,1,1930,Unique Length-3 Palindromic Subsequences,First/Last Index Pre-computation
Fisher-Yates Shuffle Algorithm,1,384,Shuffle an Array,Fisher-Yates Shuffle Algorithm
Fixed-Window Sliding (Multiple Passes),1,2067,Number of Equal Count Substrings,Fixed-Window Sliding (Multiple Passes)
Floating Closure Memory (The callback and its lexical environment stay in memory until the timer naturally finishes),1,2715,Timeout Cancellation (JS),Floating Closure Memory (The callback and its lexical environment stay in memory until the timer naturally finishes)
Function with Local Variable Offset (N-1) and LIMIT,1,177,Nth Highest Salary,Function with Local Variable Offset (N-1) and LIMIT
Function.prototype.apply / Symbol Key,1,2693,Call Function with Custom Context (JS),Function.prototype.apply / Symbol Key
Generators (`yield`),1,2648,Generate Fibonacci Sequence (JS),Generators (`yield`)
Global Bounding Box Scan,1,2249,Count Lattice Points Inside Circles,Global Bounding Box Scan
Global Sum Maintenance (Delta Tracking),1,985,Sum of Even Numbers After Queries,Global Sum Maintenance (Delta Tracking)
Group Consecutive Counts,1,696,Count Binary Substrings,Group Consecutive Counts
Grouping by Vowel Count,1,3775,Reverse Words With Same Vowel Count (Med),Grouping by Vowel Count + Reverse Pointers
IN Clause with Multi-Column Key,1,1174,Immediate Food Delivery II (SQL),IN Clause with Multi-Column Key
In-Degree Accumulator (Array),1,2374,Node With Highest Edge Score,In-Degree Accumulator (Array)
In-Order Flattening,1,1382,Balance a Binary Search Tree,In-Order Flattening + Midpoint Reconstruction
In-Order Traversal (Sorted Property),1,783,Minimum Distance Between BST Nodes,In-Order Traversal (Sorted Property)
In-Order Traversal (natively sorted),1,530,Minimum Absolute Difference in BST,In-Order Traversal (natively sorted) + Track `prev` Node
"In-Place ""Leapfrog"" Reversal",1,92,Reverse Linked List II,"In-Place ""Leapfrog"" Reversal"
In-Place Group Iteration & Re-linking,1,2074,Reverse Nodes in Even Length Groups,In-Place Group Iteration & Re-linking
In-Place In-order Maintain a `first` and `last` pointer. Connect `last.right = current` and `current.left = last` during traversal,1,426,Convert BST to Sorted DLL,In-Place In-order Maintain a `first` and `last` pointer. Connect `last.right = current` and `current.left = last` during traversal
In-Place Iterative Reduction,1,2293,Min Max Game,In-Place Iterative Reduction
In-Place Link Manipulation,1,1474,Delete N Nodes After M Nodes of a Linked List,In-Place Link Manipulation
In-Place Pointer Reversal,1,25,Reverse Nodes in k-Group,In-Place Pointer Reversal
In-Place Pointer Splicing,1,2807,Insert Greatest Common Divisors in Linked List,In-Place Pointer Splicing + Euclidean Algorithm
In-Place State Marking,1,73,Set Matrix Zeroes,In-Place State Marking
In-order Traversal with In-place Re-linking,1,897,Increasing Order Search Tree,In-order Traversal with In-place Re-linking
In-place Array Mutations (Visualizing the CPU repeatedly writing to memory for every range update),1,2772,Apply Operations to Make All Array Elements Zero,In-place Array Mutations (Visualizing the CPU repeatedly writing to memory for every range update)
In-place Array Transformation,1,544,Output Contest Matches,In-place Array Transformation
"In-place Marking For each number x, go to index |x|-1 and flip the value to negative. If already negative, it's a duplicate",1,442,Find All Duplicates in an Array,"In-place Marking For each number x, go to index |x|-1 and flip the value to negative. If already negative, it's a duplicate"
"In-place Negation For each value x, treat |x|-1 as an index and make the value at that index negative. Positives remaining are the gaps",1,448,Find All Numbers Disappeared in an Array,"In-place Negation For each value x, treat |x|-1 as an index and make the value at that index negative. Positives remaining are the gaps"
In-place array mutations (Unnecessary write operations to memory),1,2717,Semi-Ordered Permutation,In-place array mutations (Unnecessary write operations to memory)
In-place modification of Character Array,1,1844,Replace All Digits with Characters,In-place modification of Character Array
In-place row swapping within the specified submatrix boundaries,1,3643,Flip Square Submatrix Vertically (Easy),In-place row swapping within the specified submatrix boundaries
Index Mapping,1,1773,Count Items Matching a Rule,Index Mapping + Linear Scan
Index-as-Hash / Negation Marker,1,645,Set Mismatch,Index-as-Hash / Negation Marker
Information Theory (N-Dimensional Hypercube) Each pig represents a dimension. The number of states a pig can have is (Tests,1,458,Poor Pigs,Information Theory (N-Dimensional Hypercube) Each pig represents a dimension. The number of states a pig can have is (Tests + 1). Solve (States)^{Pigs} ge Buckets
Integer State Mutation (Visualizing the variables main and additional changing over time),1,2739,Total Distance Traveled,Integer State Mutation (Visualizing the variables main and additional changing over time)
Intermediate Array Allocation (Visualize a potentially massive array of strings being created in memory just for a boolean check),1,2727,Is Object Empty,Intermediate Array Allocation (Visualize a potentially massive array of strings being created in memory just for a boolean check)
"Inverse Transform (Polar) Generate theta in [0, 2π] and r = R √{rand()}. The square root is crucial for uniform density",1,478,Generate Random Point in a Circle,"Inverse Transform (Polar) Generate theta in [0, 2π] and r = R √{rand()}. The square root is crucial for uniform density"
Iterative Accumulator Update,1,2626,Array Reduce Transformation (JS),Iterative Accumulator Update
Iterative Brute Force (Optimized Range),1,2928,Distribute Candies Among Children I,Iterative Brute Force (Optimized Range)
Iterative Cleanup,1,1694,Reformat Phone Number,Iterative Cleanup + Block Processing
Iterative Comparison,1,2264,Largest 3-Same-Digit Number in String,Iterative Comparison
Iterative In-order Traversal with Early Stop,1,230,Kth Smallest Element in a BST,Iterative In-order Traversal with Early Stop
Iterative Mapping (New Array),1,2635,Apply Transform Over Each Element (JS),Iterative Mapping (New Array)
Iterative New Array Push,1,2634,Filter Elements from Array (JS),Iterative New Array Push
Iterative Pointer Manipulation (Bottom-Up Logic),1,156,Binary Tree Upside Down,Iterative Pointer Manipulation (Bottom-Up Logic)
Iterative Pointer Mutation (Visualizing the CPU cycle overhead for millions of small increments),1,2757,Generate Circular Array Values,Iterative Pointer Mutation (Visualizing the CPU cycle overhead for millions of small increments)
Iterative Slicing (Step = Size),1,2677,Chunk Array,Iterative Slicing (Step = Size)
JavaScript Generators & Promises,1,2650,Design Cancellable Function,JavaScript Generators & Promises
JavaScript Prototype Chain Traversal,1,2618,Check if Object Instance of Class (JS),JavaScript Prototype Chain Traversal
JavaScript Proxy (`get` trap),1,2690,Infinite Method Objects (JS),JavaScript Proxy (`get` trap)
LCP Array (Longest Common Prefix) / Z-Algorithm,1,3388,Count Beautiful Splits in an Array,LCP Array (Longest Common Prefix) / Z-Algorithm
LIS (Longest Increasing Subsequence),1,1671,Minimum Number of Removals to Make Mountain Array,LIS (Longest Increasing Subsequence) + LDS (Decreasing)
Lexical Scope / Closures,1,2620,Counter (JS),Lexical Scope / Closures
Linear Algebra (System of Equations),1,1276,Number of Burgers with No Waste,Linear Algebra (System of Equations)
Linear Array Scanning,1,2951,Find the Peaks,Linear Array Scanning
Linear Boundary Comparison,1,1272,Remove Interval,Linear Boundary Comparison
Linear Count Tracker,1,3254,Find the Power of K-Size Subarrays I,Linear Count Tracker
Linear Memory Scan (Visualizing the CPU reading the entire marbles array for every single instruction),1,2766,Relocate Marbles,Linear Memory Scan (Visualizing the CPU reading the entire marbles array for every single instruction)
Linear One-Pass Update,1,2239,Find Closest Number to Zero,Linear One-Pass Update
Linear Row Scan,1,2643,Row With Maximum Ones,Linear Row Scan + Tracker
Linear Scan (Max Property Observation),1,2419,Longest Subarray With Maximum Bitwise AND,Linear Scan (Max Property Observation)
Linear Scan (Min/Max Tracking),1,3279,Maximum Total Area Occupied by Pistons,Linear Scan (Min/Max Tracking)
Linear Scan / Substring Search,1,2124,Check if All A's Appears Before All B's,Linear Scan / Substring Search
Linear Scan of Adjacent Elements,1,163,Missing Ranges,Linear Scan of Adjacent Elements
Linear Scan with State Tracker,1,2660,Determine the Winner of a Bowling Game,Linear Scan with State Tracker
Linear Search Overhead (Visualizing indexOf being called repeatedly),1,2794,Create Object from Two Arrays (JS),Linear Search Overhead (Visualizing indexOf being called repeatedly)
Linear Search Pointers (Drawing the search range for every individual query),1,2747,Count Zero Request Servers,Linear Search Pointers (Drawing the search range for every individual query)
Linear Traversal (Bidirectional),1,3263,Convert Doubly Linked List to Array II,Linear Traversal (Bidirectional)
Linear loop checking `nums[i]-nums[i-1]`,1,3423,Maximum Difference Between Adjacent Elements in a Circular Array,Linear loop checking `nums[i]-nums[i-1]` + one explicit edge check for `nums[N-1]-nums[0]`. O(N)
List Maintenance,1,2899,Last Visited Integers,List Maintenance + Pointer Tracking
Local Incremental Update,1,2672,Number of Adjacent Elements With the Same Color,Local Incremental Update
Logical Comparison of First Two Edges,1,1791,Find Center of Star Graph,Logical Comparison of First Two Edges
Logical Invariance (Existence of '1'),1,2546,Apply Bitwise Operations to Make Strings Equal,Logical Invariance (Existence of '1')
Longest Common Substring (LCS Variant),1,3135,Equalize Strings by Adding or Removing Characters at Ends,Longest Common Substring (LCS Variant)
Look-Ahead (Caching),1,284,Peeking Iterator,Look-Ahead (Caching)
Loop pointers footprint (Draw i and j pointers constantly jumping back and forth across an array),1,2706,Buy Two Chocolates,Loop pointers footprint (Draw i and j pointers constantly jumping back and forth across an array)
Lowest Common Ancestor (LCA),1,1740,Find Distance in a Binary Tree,Lowest Common Ancestor (LCA) + Node Depth
Lowest Common Ancestor (LCA) with Binary Lifting,1,3515,Shortest Path in a Weighted Tree (Hard),Lowest Common Ancestor (LCA) with Binary Lifting
Manacher's Algorithm,1,3504,Longest Palindrome After Substring Concatenation II (Hard),Manacher's Algorithm + Suffix Automaton / Hash
Massive String Reallocations (Immutable strings mean creating a brand new string in memory for every deletion),1,2716,Minimize String Length,Massive String Reallocations (Immutable strings mean creating a brand new string in memory for every deletion)
"Maximum Flow / Bipartite Matching. Model robots as one set of nodes, walls as another, and find the maximum matching/coverage",1,3661,Maximum Walls Destroyed by Robots (Hard),"Maximum Flow / Bipartite Matching. Model robots as one set of nodes, walls as another, and find the maximum matching/coverage"
Median,1,2967,Minimum Cost to Make Array Equalindromic,Median + Palindrome Generation
Median Property (Independent Dimensions),1,296,Best Meeting Point,Median Property (Independent Dimensions)
Middle Character Extraction,1,2011,Final Value of Variable After Performing Operations,Middle Character Extraction
Min-Cost Flow / Hungarian Algorithm,1,3785,Minimum Swaps to Avoid Forbidden Values (Hard),Min-Cost Flow / Hungarian Algorithm
Min-Max Coordinate Tracking,1,3195,Find the Minimum Area to Cover All 1s I,Min-Max Coordinate Tracking
Min/Max Tracking,1,2148,Count Elements With Strictly Smaller and Greater Elements,Min/Max Tracking
Minimal Memory (Only tracking unique category representatives),1,2782,Number of Unique Categories,Minimal Memory (Only tracking unique category representatives)
Minimal Variable State (Only index i),1,2774,Array Upper Bound (JS),Minimal Variable State (Only index i)
Minimax / Information Theory (Heuristic Guessing),1,843,Guess the Word,Minimax / Information Theory (Heuristic Guessing)
Minimum Boundary Tracking,1,598,Range Addition II,Minimum Boundary Tracking
Mismatch Index Comparison,1,1790,Check if One String Swap Can Make Strings Equal,Mismatch Index Comparison
Native Pandas Constructor (Vectorized Internal Logic),1,2877,Create a DataFrame from List (Pandas),Native Pandas Constructor (Vectorized Internal Logic)
Nested Char Loops,1,2194,Cells in a Range on an Excel Sheet,Nested Char Loops
Net Shift Calculation,1,1427,Perform String Shifts,Net Shift Calculation + Slicing
Network Socket Overload (Visualizing multiple open connections consuming system file descriptors),1,2756,Query Batching (JS),Network Socket Overload (Visualizing multiple open connections consuming system file descriptors)
Next Permutation Algorithm (Linear Scan),1,556,Next Greater Element III,Next Permutation Algorithm (Linear Scan)
Next Permutation Algorithm (Suffix Reversal),1,3720,Lexicographically Smallest Permutation Greater Than Target (Med),Next Permutation Algorithm (Suffix Reversal)
Next Permutation Algorithm on the first half,1,1842,Next Palindrome Using Same Digits (Premium),Next Permutation Algorithm on the first half
Next Permutation on Half-String,1,3734,Lexicographically Smallest Palindromic Permutation Greater Than Target (Hard),Next Permutation on Half-String
Number Theory (Greatest Common Divisor),1,1250,Check If It Is a Good Array,Number Theory (Greatest Common Divisor)
O(1) State Variables (Draw one sum and one i),1,2778,Sum of Squares of Special Elements,O(1) State Variables (Draw one sum and one i)
O(N^2) 2D Array Allocation (Massive memory waste for large N),1,2718,Sum of Matrix After Queries,O(N^2) 2D Array Allocation (Massive memory waste for large N)
ORDER BY Multiple Columns,1,2377,Sort the Olympic Table (SQL Premium),ORDER BY Multiple Columns
One-Pass Min-Max Tracking,1,1491,Average Salary Excluding the Minimum and Maximum Salary,One-Pass Min-Max Tracking
One-Pass Neighbor Comparison,1,766,Toeplitz Matrix,One-Pass Neighbor Comparison
One-Pass Precomputation,1,3349,Adjacent Increasing Subarrays Detection I,One-Pass Precomputation
One-Pass Running Maximum,1,915,Partition Array into Disjoint Intervals,One-Pass Running Maximum
One-Pass String Comparison,1,161,One Edit Distance,One-Pass String Comparison
One-Pass with Toggle/Previous Tracking,1,245,Shortest Word Distance III,One-Pass with Toggle/Previous Tracking
Optimized Linear Scan (Early Exit),1,2452,Words Within Two Edits of Dictionary,Optimized Linear Scan (Early Exit)
Parity Logic (Difference is even iff Total Sum is even). O(N),1,3432,Count Partitions with Even Sum Difference,Parity Logic (Difference is even iff Total Sum is even). O(N)
Parity Summation,1,3274,Check if Two Chessboard Squares Have the Same Color,Parity Summation
Partition Memory Sets (Visualizing two massive separate heaps for every single partition attempt),1,2740,Find the Value of the Partition,Partition Memory Sets (Visualizing two massive separate heaps for every single partition attempt)
Pattern Canonicalization / Hashing,1,1072,Flip Columns For Maximum Number of Equal Rows,Pattern Canonicalization / Hashing
Pattern Categorization (6-Segment Window),1,335,Self Crossing,Pattern Categorization (6-Segment Window)
"Pattern Searching (Presence of ""01"")",1,1784,Check if Binary String Has at Most One Segment of Ones,"Pattern Searching (Presence of ""01"")"
Permutation Validation (Fixed Size),1,949,Largest Time for Given Digits,Permutation Validation (Fixed Size)
Persistent Pointer (Amortized Analysis),1,2424,Longest Uploaded Prefix,Persistent Pointer (Amortized Analysis)
Polynomial Class / Map of Term-to-Coefficient,1,770,Basic Calculator IV,Polynomial Class / Map of Term-to-Coefficient
Pre-allocation,1,1313,Decompress Run-Length Encoded List,Pre-allocation + Linear Fill
Pre-evaluated Boolean Variables mapping to strict logic combinations,1,2525,Categorize Box According to Criteria,Pre-evaluated Boolean Variables mapping to strict logic combinations
"Pre-mapped Char-to-Row Create a Map or Array of size 26 where `row[char]` is 1, 2, or 3. Check if all chars in a word return the same row ID",1,500,Keyboard Row,"Pre-mapped Char-to-Row Create a Map or Array of size 26 where `row[char]` is 1, 2, or 3. Check if all chars in a word return the same row ID"
Pre-processing (Index Collection),1,3159,Find Occurrences of an Element in an Array,Pre-processing (Index Collection)
Precomputation (Prefix Products),1,2438,Range Product Queries of Powers,Precomputation (Prefix Products)
Precomputation (RowithCol Sum Arrays),1,2482,Difference Between Ones and Zeros in Row and Column,Precomputation (RowithCol Sum Arrays)
"Precompute ""Longest Decreasing"" from left and ""Longest Increasing"" from right for every index",1,3676,Count Bowl Subarrays (Med),"Precompute ""Longest Decreasing"" from left and ""Longest Increasing"" from right for every index"
Precomputed Row-Mins and Col-Maxes,1,1380,Lucky Numbers in a Matrix,Precomputed Row-Mins and Col-Maxes
Prefix & Suffix Arrays,1,3334,Find the Maximum Factor Score of Array,Prefix & Suffix Arrays
Prefix & Suffix Arrays (State Tracking),1,1525,Number of Good Ways to Split a String,Prefix & Suffix Arrays (State Tracking)
Prefix & Suffix Products (Flattened 2D to 1D),1,2906,Construct Product Matrix,Prefix & Suffix Products (Flattened 2D to 1D)
Prefix Expansion / Direct String Construction,1,3324,Find the Sequence of Strings Appeared on the Screen,Prefix Expansion / Direct String Construction
Prefix Manipulation,1,564,Find the Closest Palindrome,Prefix Manipulation + Candidate Testing
Prefix Max & Suffix Min,1,768,Max Chunks To Make Sorted II,Prefix Max & Suffix Min
Prefix Max & Suffix Min Pass,1,1966,Binary Searchable Numbers in an Unsorted Array,Prefix Max & Suffix Min Pass
Prefix Max / Suffix Max Arrays,1,3745,Maximize Expression of Three Elements (Easy),Prefix Max / Suffix Max Arrays
Prefix Max and Suffix Min Arrays,1,2012,Sum of Beauty in the Array,Prefix Max and Suffix Min Arrays
Prefix Maximum & Suffix Maximum (or Pre-calculation),1,2873,Maximum Value of an Ordered Triplet I,Prefix Maximum & Suffix Maximum (or Pre-calculation)
Prefix Min & Suffix Min Arrays,1,2908,Minimum Sum of Mountain Triplets I,Prefix Min & Suffix Min Arrays
Prefix Min & Suffix Min Arrays (Identical to 2908),1,2909,Minimum Sum of Mountain Triplets II,Prefix Min & Suffix Min Arrays (Identical to 2908)
Prefix Product Array with Zero-Reset,1,1352,Product of the Last K Numbers,Prefix Product Array with Zero-Reset
Prefix and Suffix Accumulators,1,3788,Maximum Score of a Split (Med),Prefix and Suffix Accumulators
Prefix and Suffix Counts. Count existing '0's and '1's. Inserting '0' at the start pairs with all existing '1's. Inserting '1' at the end pairs with all existing '0's,1,3628,Maximum Number of Subsequences After One Inserting (Med),Prefix and Suffix Counts. Count existing '0's and '1's. Inserting '0' at the start pairs with all existing '1's. Inserting '1' at the end pairs with all existing '0's
Prefix and Suffix Precomputation Arrays,1,3817,Good Indices in a Digit String (Med.),Prefix and Suffix Precomputation Arrays
"Prefix and Suffix Sums. Precalculate even/odd sums. When you ""remove"" an element, the suffix even/odd sums simply swap roles!",1,3634,Minimum Removals to Balance Array (Med),"Prefix and Suffix Sums. Precalculate even/odd sums. When you ""remove"" an element, the suffix even/odd sums simply swap roles!"
Prepared Statements / Dynamic SQL,1,2252,Dynamic Pivoting of a Table,Prepared Statements / Dynamic SQL
Preprocessing (RowithCol Sums),1,1582,Special Positions in a Binary Matrix,Preprocessing (RowithCol Sums)
